id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IA-72133,Tavern & Grill,David Moore,Owner,info@tavernandgrill.com,(712) 867-6021,4128 Elm St,Iowa City,IA,Iowa,64010,Tavern,C,78000,Lightspeed,60,True,True,7,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222462
IA-75206,Uptown Tavern,Thomas Rodriguez,Operations Manager,info@uptowntavern.com,(641) 894-4305,6757 Broadway,Des Moines,IA,Iowa,71219,Tavern,B,214100,Unknown,40,True,True,17,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222469
IA-55262,Cedar Rapids Kitchen,John Martin,General Manager,info@cedarrapidskitchen.com,(515) 908-7275,1352 Market St,Cedar Rapids,IA,Iowa,28348,Kitchen,B,137700,ShopKeep,70,True,True,10,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222477
IA-33930,West Cedar Rapids Kitchen,Joseph Jones,Owner,info@westcedarrapidskitch.com,(563) 677-1628,548 Broadway,Cedar Rapids,IA,Iowa,60652,Kitchen,B,137700,Square,85,True,True,10,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222487
IA-87845,Davenport Kitchen,Michael Davis,Manager,info@davenportkitchen.com,(319) 513-9588,704 Chestnut St,Davenport,IA,Iowa,93908,Cafe,B,101000,Lightspeed,60,True,True,6,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222495
IA-68022,The Friendly Eatery,Joseph Brown,Owner,info@thefriendlyeatery.com,(319) 288-8428,4241 Elm St,Des Moines,IA,Iowa,76581,Eatery,B,214100,ShopKeep,70,True,True,5,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222503
IA-24267,The Fresh Eatery,Sarah Jackson,Manager,info@thefresheatery.com,(515) 571-2247,6026 Oak St,Iowa City,IA,Iowa,29243,Eatery,C,78000,Toast,60,False,False,2,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222511
IA-71504,Tavern Co.,Thomas Lee,Operations Manager,info@tavernco..com,(563) 297-8562,1058 Washington St,Davenport,IA,Iowa,35955,Tavern,B,101000,Cake POS,75,True,True,17,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222519
IA-47676,Classic Pub on Main,Joseph Jones,Operations Manager,info@classicpubonmain.com,(712) 289-7055,912 Pine St,Davenport,IA,Iowa,35616,Pub,B,101000,Square,85,True,True,11,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222530
IA-41602,West Cedar Rapids Grill,Robert Jackson,Manager,info@westcedarrapidsgrill.com,(515) 696-9210,3395 Maple Ave,Cedar Rapids,IA,Iowa,39192,Grill,B,137700,Square,85,True,True,7,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222537
IA-56333,Bistro & Grill,Richard Martin,Manager,info@bistroandgrill.com,(641) 728-6766,3073 Chestnut St,Cedar Rapids,IA,Iowa,87719,Bistro,B,137700,Toast,60,True,True,1,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222545
IA-65524,Iowa City Bistro,Karen Johnson,Manager,info@iowacitybistro.com,(563) 788-1303,1734 Oak St,Iowa City,IA,Iowa,99858,Bistro,C,78000,Micros,75,True,True,8,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222556
IA-54906,Grill Co.,William Williams,Manager,info@grillco..com,(712) 840-4015,9931 River Rd,Davenport,IA,Iowa,35587,Grill,B,101000,Unknown,40,True,True,14,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222564
IA-88944,Cedar Rapids Bistro,Joseph Lee,Operations Manager,info@cedarrapidsbistro.com,(319) 879-5055,233 Washington St,Cedar Rapids,IA,Iowa,68142,Restaurant,B,137700,Square,85,True,True,6,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222572
IA-67449,Tavern & Grill,Susan Martinez,Owner,info@tavernandgrill.com,(319) 432-7559,7545 Pine St,Iowa City,IA,Iowa,78352,Tavern,C,78000,Unknown,40,True,True,28,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222579
IA-55295,Tavern & Grill,Karen White,Operations Manager,info@tavernandgrill.com,(712) 257-8265,4642 Main St,Cedar Rapids,IA,Iowa,63985,Tavern,B,137700,Cake POS,75,True,True,3,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222587
IA-42103,The Friendly Restaurant,Thomas Lee,Owner,info@thefriendlyrestauran.com,(641) 511-1107,5008 Main St,Des Moines,IA,Iowa,50287,Restaurant,B,214100,Cake POS,75,True,True,25,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222597
IA-21028,Iowa City Kitchen,Patricia Brown,General Manager,info@iowacitykitchen.com,(515) 653-1360,8529 Broadway,Iowa City,IA,Iowa,75339,Cafe,C,78000,Revel,70,False,True,26,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222608
IA-67775,Grill & Grill,Linda Davis,Owner,info@grillandgrill.com,(515) 694-8224,7159 Chestnut St,Waterloo,IA,Iowa,94201,Grill,C,25345,Cake POS,75,True,True,22,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222617
IA-62461,Sioux City Urban Eatery,William Jones,General Manager,info@siouxcityurbaneatery.com,(641) 904-9574,8041 Maple Ave,Sioux City,IA,Iowa,12667,Eatery,C,57956,TouchBistro,65,True,False,7,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222626
IA-56093,Hernandez's Cafe,Linda Hernandez,General Manager,info@hernandezscafe.com,(563) 502-1591,7059 Broadway,Waterloo,IA,Iowa,70892,Cafe,C,72565,Micros,75,True,True,12,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222634
IA-59516,Waterloo Eatery,Christopher Martinez,General Manager,info@waterlooeatery.com,(641) 729-1505,5891 Park Ave,Waterloo,IA,Iowa,21005,Kitchen,C,49680,Aloha,80,True,True,8,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222642
IA-49050,Martinez's Bar,Karen Martinez,Operations Manager,info@martinezsbar.com,(563) 763-5065,9791 Pine St,Sioux City,IA,Iowa,88069,Bar,C,46979,Unknown,40,True,False,5,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222653
IA-49224,Waterloo Pub,Richard Jackson,Manager,info@waterloopub.com,(319) 482-3647,2853 Chestnut St,Waterloo,IA,Iowa,94670,Grill,C,32016,TouchBistro,65,True,True,24,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222661
IA-83416,The Fresh Bistro,Jennifer Davis,Owner,info@thefreshbistro.com,(563) 625-5022,6901 Main St,Ames,IA,Iowa,34257,Bistro,C,61702,Unknown,40,True,True,17,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Ames,Midwest",2026-05-07T20:52:45.222672
IA-40570,Anderson's Bistro,Barbara Anderson,Manager,info@andersonsbistro.com,(319) 250-9609,4540 Washington St,Sioux City,IA,Iowa,13712,Bistro,C,78710,Micros,75,True,False,22,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222683
IA-62230,Sioux City Red Cafe,Christopher Martinez,General Manager,info@siouxcityredcafe.com,(319) 679-2838,9587 River Rd,Sioux City,IA,Iowa,91380,Cafe,C,60280,Micros,75,True,False,15,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222691
IA-78644,Sioux City Modern Bar,James Smith,Owner,info@siouxcitymodernbar.com,(563) 934-8964,5979 Market St,Sioux City,IA,Iowa,76298,Bar,C,54162,Toast,60,True,True,28,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222702
IA-60055,Sioux City Eatery House,Christopher Lee,General Manager,info@siouxcityeateryhouse.com,(563) 926-3980,6497 Washington St,Sioux City,IA,Iowa,96490,Eatery,C,30782,TouchBistro,65,True,False,4,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222710
IA-91611,Downtown Diner,Richard Davis,General Manager,info@downtowndiner.com,(712) 511-4146,7948 River Rd,Waterloo,IA,Iowa,13750,Diner,C,66948,TouchBistro,65,True,True,34,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222719
IA-29203,Ames Rustic Cafe,William Martinez,Owner,info@amesrusticcafe.com,(515) 243-1063,7755 Park Ave,Ames,IA,Iowa,72528,Cafe,C,56841,Micros,75,True,True,24,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Ames,Midwest",2026-05-07T20:52:45.222727
IA-90132,Restaurant Co.,Patricia Johnson,Manager,info@restaurantco..com,(515) 641-9019,1254 Market St,Sioux City,IA,Iowa,45854,Restaurant,C,30995,Toast,60,True,True,6,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222735
IA-80893,Bistro of Sioux City,William Anderson,Manager,info@bistroofsiouxcity.com,(641) 920-7738,9923 Pine St,Sioux City,IA,Iowa,94105,Bistro,C,37655,Lightspeed,60,True,True,14,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222746
IA-50742,Sioux City Bistro,Richard Lopez,Operations Manager,info@siouxcitybistro.com,(712) 720-6520,2471 Lake St,Sioux City,IA,Iowa,15158,Grill,C,60438,Lightspeed,60,True,False,20,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222757
IA-99323,Sioux City Kitchen,Jessica Wilson,Operations Manager,info@siouxcitykitchen.com,(319) 813-5093,6115 Washington St,Sioux City,IA,Iowa,52267,Bar,C,69869,Square,85,False,True,35,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222765
IA-15070,Bar & Grill,Christopher Miller,General Manager,info@barandgrill.com,(712) 517-4590,1435 River Rd,Waterloo,IA,Iowa,25996,Bar,C,69704,Clover,75,True,True,7,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222773
IA-69908,Uptown Restaurant,Linda Miller,Operations Manager,info@uptownrestaurant.com,(515) 523-1990,3429 Broadway,Waterloo,IA,Iowa,97972,Restaurant,C,30192,Micros,75,True,True,13,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222781
IA-47678,Downtown Restaurant,Jessica Miller,Operations Manager,info@downtownrestaurant.com,(515) 755-4317,9890 Broadway,Sioux City,IA,Iowa,67947,Restaurant,C,46853,TouchBistro,65,True,True,23,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222793
IA-73752,The Blue Tavern,William Jones,Owner,info@thebluetavern.com,(641) 573-6671,9414 Market St,Sioux City,IA,Iowa,41127,Tavern,C,71124,Toast,60,True,True,27,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222800
IA-38585,Waterloo Kitchen,Michael Williams,Owner,info@waterlookitchen.com,(641) 686-8334,1337 Elm St,Waterloo,IA,Iowa,27908,Cafe,C,31586,Unknown,40,True,True,29,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222808
IA-41019,West Ames Restaurant,Sarah White,General Manager,info@westamesrestaurant.com,(515) 543-7594,5356 Elm St,Ames,IA,Iowa,84149,Restaurant,C,39157,Unknown,40,True,False,4,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Ames,Midwest",2026-05-07T20:52:45.222816
IA-70879,Downtown Bar,Christopher Martin,Owner,info@downtownbar.com,(319) 320-4220,895 Broadway,Waterloo,IA,Iowa,66267,Bar,C,25030,Lightspeed,60,True,True,6,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222825
IA-28642,Waterloo Classic Eatery,Karen Anderson,Manager,info@waterlooclassiceater.com,(712) 625-5151,6146 Maple Ave,Waterloo,IA,Iowa,37417,Eatery,C,52864,Lightspeed,60,True,True,35,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222836
IA-63787,Waterloo Friendly Bistro,John Rodriguez,Operations Manager,info@waterloofriendlybist.com,(641) 981-7427,936 Lake St,Waterloo,IA,Iowa,84673,Bistro,C,46309,Micros,75,True,False,23,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222852
IA-13920,Waterloo Kitchen,Karen Taylor,Operations Manager,info@waterlookitchen.com,(712) 591-4999,788 Washington St,Waterloo,IA,Iowa,81807,Pub,C,37356,Unknown,40,True,False,35,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222859
IA-70388,The Urban Pub,Barbara Brown,Operations Manager,info@theurbanpub.com,(515) 507-1010,4647 Chestnut St,Sioux City,IA,Iowa,71579,Pub,C,68668,Micros,75,True,False,10,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222867
IA-64265,The Rustic Eatery,Elizabeth Taylor,General Manager,info@therusticeatery.com,(712) 969-5188,7513 Broadway,Ames,IA,Iowa,21869,Eatery,C,38343,TouchBistro,65,True,True,30,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Ames,Midwest",2026-05-07T20:52:45.222875
IA-10573,The Friendly Bar,Michael Miller,General Manager,info@thefriendlybar.com,(712) 600-1254,1229 Chestnut St,Sioux City,IA,Iowa,22111,Bar,C,32973,Lightspeed,60,True,True,6,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Sioux City,Midwest",2026-05-07T20:52:45.222884
IA-86044,Uptown Pub,Robert Lopez,General Manager,info@uptownpub.com,(515) 948-7972,148 Park Ave,Ames,IA,Iowa,10188,Pub,C,65198,Cake POS,75,True,False,23,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Ames,Midwest",2026-05-07T20:52:45.222895
IA-21719,Green Grill on Main,Christopher Martinez,Manager,info@greengrillonmain.com,(712) 793-2229,9504 Elm St,Waterloo,IA,Iowa,93020,Grill,C,60268,ShopKeep,70,True,True,14,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Waterloo,Midwest",2026-05-07T20:52:45.222903
