id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
TN-00011,The Williams Restaurant,Michael Wilson,info@thewilliamsrest.com,+1 (555) 795-4356,1955 Main St,Chattanooga,TN,Chattanooga County,56732,bar,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225349,"State Population: 6,910,840"
TN-00012,Chattanooga Grill,Susan Williams,info@chattanoogagril.com,+1 (555) 834-8552,8335 Main St,Chattanooga,TN,Chattanooga County,16097,restaurant,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225360,"State Population: 6,910,840"
TN-00013,Knoxville Tavern,David Anderson,info@knoxvilletavern.com,+1 (555) 180-2825,6843 Main St,Knoxville,TN,Knoxville County,41124,grill,B,TN_Scraper,"Restaurant,TN,Knoxville",2026-05-07T20:48:34.225369,"State Population: 6,910,840"
TN-00014,Knoxville Pub,David Jones,info@knoxvillepub.com,+1 (555) 802-5015,1714 Maple St,Knoxville,TN,Knoxville County,23167,cafe,B,TN_Scraper,"Restaurant,TN,Knoxville",2026-05-07T20:48:34.225379,"State Population: 6,910,840"
TN-00015,Chattanooga Grill,Robert Rodriguez,info@chattanoogagril.com,+1 (555) 632-2400,1609 Pine St,Chattanooga,TN,Chattanooga County,24159,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225388,"State Population: 6,910,840"
TN-00016,Chattanooga Cafe,Michael Anderson,info@chattanoogacafe.com,+1 (555) 174-1347,6029 Maple St,Chattanooga,TN,Chattanooga County,49036,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226488,"State Population: 6,910,840"
TN-00017,Chattanooga Tavern,Elizabeth Brown,info@chattanoogatave.com,+1 (555) 692-9893,976 Maple St,Chattanooga,TN,Chattanooga County,15929,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226507,"State Population: 6,910,840"
TN-00018,Chattanooga Grill,Richard Taylor,info@chattanoogagril.com,+1 (555) 537-1760,7092 Main St,Chattanooga,TN,Chattanooga County,95281,cafe,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226519,"State Population: 6,910,840"
TN-00019,Memphis Cafe,David Williams,info@memphiscafe.com,+1 (555) 598-9071,3996 Oak St,Memphis,TN,Memphis County,24177,restaurant,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.226530,"State Population: 6,910,840"
TN-00020,Nashville Eatery,Susan Brown,info@nashvilleeatery.com,+1 (555) 335-2916,7213 Maple St,Nashville,TN,Nashville County,42389,cafe,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226541,"State Population: 6,910,840"
TN-00021,Memphis Diner,William Davis,info@memphisdiner.com,+1 (555) 548-3080,2355 Pine St,Memphis,TN,Memphis County,38063,bar,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.226552,"State Population: 6,910,840"
TN-00022,Chattanooga Bistro,James Wilson,info@chattanoogabist.com,+1 (555) 135-3120,6181 Elm St,Chattanooga,TN,Chattanooga County,82108,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226569,"State Population: 6,910,840"
TN-00023,Nashville Bistro,James Smith,info@nashvillebistro.com,+1 (555) 347-2096,476 Maple St,Nashville,TN,Nashville County,62456,grill,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226580,"State Population: 6,910,840"
TN-00024,Chattanooga Eatery,James Miller,info@chattanoogaeate.com,+1 (555) 181-5517,4545 Maple St,Chattanooga,TN,Chattanooga County,63290,restaurant,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226595,"State Population: 6,910,840"
TN-00025,Nashville Bistro,Susan Smith,info@nashvillebistro.com,+1 (555) 727-4037,9943 Main St,Nashville,TN,Nashville County,11083,grill,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226607,"State Population: 6,910,840"
TN-00026,Nashville Cafe,Jennifer Martinez,info@nashvillecafe.com,+1 (555) 842-1381,9353 Maple St,Nashville,TN,Nashville County,56419,grill,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226621,"State Population: 6,910,840"
TN-00027,Chattanooga Kitchen,Elizabeth Jones,info@chattanoogakitc.com,+1 (555) 326-4028,9617 Maple St,Chattanooga,TN,Chattanooga County,28522,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226631,"State Population: 6,910,840"
TN-00028,Memphis Bar,Barbara Taylor,info@memphisbar.com,+1 (555) 458-1157,7022 Main St,Memphis,TN,Memphis County,20209,bar,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.226642,"State Population: 6,910,840"
TN-00029,Knoxville Grill,Richard Martinez,info@knoxvillegrill.com,+1 (555) 774-8867,5337 Maple St,Knoxville,TN,Knoxville County,46095,restaurant,B,TN_Scraper,"Restaurant,TN,Knoxville",2026-05-07T20:48:34.226652,"State Population: 6,910,840"
TN-00030,Nashville Kitchen,Barbara Jones,info@nashvillekitche.com,+1 (555) 462-9435,2412 Oak St,Nashville,TN,Nashville County,52274,cafe,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226667,"State Population: 6,910,840"
TN-00031,Nashville Eatery,Elizabeth Johnson,info@nashvilleeatery.com,+1 (555) 830-1046,9412 Oak St,Nashville,TN,Nashville County,74514,bar,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.226678,"State Population: 6,910,840"
TN-00032,Chattanooga Pub,Mary Rodriguez,info@chattanoogapub.com,+1 (555) 240-9593,6847 Oak St,Chattanooga,TN,Chattanooga County,60694,bar,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.226688,"State Population: 6,910,840"
TN-00033,Memphis Eatery,Linda Williams,info@memphiseatery.com,+1 (555) 514-5587,6642 Oak St,Memphis,TN,Memphis County,64845,bar,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.226699,"State Population: 6,910,840"
