id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IN-64877,Indianapolis Golden Diner,Sarah Miller,General Manager,info@indianapolisgoldendi.com,(574) 993-5100,9688 Washington St,Indianapolis,IN,Indiana,73257,Diner,A,876400,Lightspeed,60,True,True,10,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739049
IN-92517,South Bend Bar House,Christopher Davis,Manager,info@southbendbarhouse.com,(812) 728-2616,5821 Broadway,South Bend,IN,Indiana,55209,Bar,B,103900,Clover,75,True,True,31,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739061
IN-36754,South Bend Bistro,Linda Martin,Operations Manager,info@southbendbistro.com,(930) 822-8090,1370 Washington St,South Bend,IN,Indiana,55317,Tavern,B,103900,Unknown,40,True,True,8,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739073
IN-86713,Evansville Bistro,Michael Martinez,General Manager,info@evansvillebistro.com,(260) 358-5072,8011 Lake St,Evansville,IN,Indiana,72956,Tavern,B,117300,Unknown,40,True,False,3,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739081
IN-44446,Fort Wayne Rustic Bar,Sarah Davis,Owner,info@fortwaynerusticbar.com,(930) 428-5940,1443 Market St,Fort Wayne,IN,Indiana,83000,Bar,B,269800,Unknown,40,True,True,29,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739089
IN-44340,Evansville Grand Cafe,Linda Brown,Operations Manager,info@evansvillegrandcafe.com,(765) 758-5060,3441 Pine St,Evansville,IN,Indiana,49206,Cafe,B,117300,Unknown,40,False,True,25,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739097
IN-59422,Evansville Bistro,Joseph Davis,Operations Manager,info@evansvillebistro.com,(812) 702-6801,7564 Park Ave,Evansville,IN,Indiana,95929,Cafe,B,117300,Aloha,80,True,True,24,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739105
IN-95808,West Fort Wayne Cafe,Michael Garcia,Operations Manager,info@westfortwaynecafe.com,(930) 795-5479,9637 Pine St,Fort Wayne,IN,Indiana,11686,Cafe,B,269800,Unknown,40,True,False,30,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739113
IN-61293,Fort Wayne Pub,John Jones,General Manager,info@fortwaynepub.com,(317) 862-3715,9907 Pine St,Fort Wayne,IN,Indiana,93970,Diner,B,269800,Lightspeed,60,True,True,5,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739122
IN-74428,Bistro & Grill,Jennifer Johnson,Owner,info@bistroandgrill.com,(463) 783-2663,9558 River Rd,Indianapolis,IN,Indiana,22655,Bistro,A,876400,Unknown,40,True,True,2,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739130
IN-95717,West Evansville Cafe,Charles Rodriguez,General Manager,info@westevansvillecafe.com,(317) 936-7262,6472 Chestnut St,Evansville,IN,Indiana,58433,Cafe,B,117300,Lightspeed,60,True,False,12,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739141
IN-34153,West South Bend Kitchen,Christopher Miller,Manager,info@westsouthbendkitchen.com,(463) 339-5631,5465 Broadway,South Bend,IN,Indiana,35760,Kitchen,B,103900,Clover,75,True,True,3,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739152
IN-54489,South Bend Restaurant House,Linda Smith,General Manager,info@southbendrestauranth.com,(765) 520-4379,8160 River Rd,South Bend,IN,Indiana,13150,Restaurant,B,103900,Lightspeed,60,True,True,34,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739161
IN-92093,West South Bend Restaurant,Richard Smith,Operations Manager,info@westsouthbendrestaur.com,(463) 700-6646,6415 Park Ave,South Bend,IN,Indiana,78442,Restaurant,B,103900,Toast,60,True,True,20,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739179
IN-39972,Blue Bar on Main,Michael Moore,Operations Manager,info@bluebaronmain.com,(260) 384-4465,7510 Maple Ave,South Bend,IN,Indiana,99293,Bar,B,103900,Unknown,40,False,False,19,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739199
IN-33065,Royal Restaurant on Main,Michael Hernandez,Owner,info@royalrestaurantonmai.com,(219) 569-2797,3128 Oak St,South Bend,IN,Indiana,27429,Restaurant,B,103900,Unknown,40,False,True,2,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739224
IN-46921,Evansville Grill House,Mary Garcia,Operations Manager,info@evansvillegrillhouse.com,(317) 690-9448,8737 Washington St,Evansville,IN,Indiana,82395,Grill,B,117300,Lightspeed,60,True,False,6,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739234
IN-49904,Tavern & Grill,Susan Rodriguez,Operations Manager,info@tavernandgrill.com,(317) 276-1787,2596 River Rd,Fort Wayne,IN,Indiana,37136,Tavern,B,269800,Micros,75,True,True,33,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739243
IN-28895,Jackson's Diner,Joseph Jackson,Manager,info@jacksonsdiner.com,(574) 758-1758,2058 Washington St,South Bend,IN,Indiana,84705,Diner,B,103900,Aloha,80,False,True,28,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739251
IN-27253,Uptown Grill,Joseph Jones,General Manager,info@uptowngrill.com,(463) 732-2073,7989 Chestnut St,Indianapolis,IN,Indiana,57436,Grill,A,876400,TouchBistro,65,True,True,32,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739263
IN-96137,South Bend Kitchen,Richard Hernandez,Operations Manager,info@southbendkitchen.com,(219) 854-3839,1951 Park Ave,South Bend,IN,Indiana,85289,Tavern,B,103900,Revel,70,True,True,31,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739276
IN-85958,Evansville Family Eatery,Thomas Williams,General Manager,info@evansvillefamilyeate.com,(812) 447-1772,8266 Chestnut St,Evansville,IN,Indiana,16919,Eatery,B,117300,Micros,75,True,False,26,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739298
IN-19207,Uptown Bistro,Jessica Lopez,Operations Manager,info@uptownbistro.com,(765) 384-1860,1151 Lake St,Evansville,IN,Indiana,18406,Bistro,B,117300,Unknown,40,True,True,8,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739314
IN-67712,Fort Wayne Bistro,William Johnson,Owner,info@fortwaynebistro.com,(317) 467-8047,2969 Washington St,Fort Wayne,IN,Indiana,13633,Cafe,B,269800,Lightspeed,60,True,True,18,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739324
IN-16506,Downtown Tavern,William Lopez,General Manager,info@downtowntavern.com,(812) 645-6282,2364 Elm St,Fort Wayne,IN,Indiana,10765,Tavern,B,269800,Square,85,True,True,18,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739333
IN-32347,Downtown Restaurant,Sarah Lopez,Manager,info@downtownrestaurant.com,(812) 433-2449,3439 Market St,Fort Wayne,IN,Indiana,81885,Restaurant,B,269800,Micros,75,False,True,6,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739341
IN-77163,Historic Grill on Main,Jessica Wilson,Manager,info@historicgrillonmain.com,(219) 858-4318,7679 Oak St,Evansville,IN,Indiana,24586,Grill,B,117300,Toast,60,True,True,27,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739350
IN-20777,The Royal Pub,Linda Williams,Owner,info@theroyalpub.com,(574) 905-4661,4711 Broadway,South Bend,IN,Indiana,90644,Pub,B,103900,Lightspeed,60,True,True,24,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739358
IN-21597,Pub of Evansville,Sarah Martin,Operations Manager,info@pubofevansville.com,(317) 352-6041,6968 Pine St,Evansville,IN,Indiana,96288,Pub,B,117300,Aloha,80,True,True,19,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739367
IN-50189,Eatery & Grill,Christopher Hernandez,Owner,info@eateryandgrill.com,(317) 944-1436,9907 Maple Ave,Evansville,IN,Indiana,77990,Eatery,B,117300,Unknown,40,True,False,25,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739381
IN-42023,West Indianapolis Tavern,Jessica Jones,Operations Manager,info@westindianapolistave.com,(930) 535-4909,4503 Main St,Indianapolis,IN,Indiana,88678,Tavern,A,876400,Aloha,80,True,True,21,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739389
IN-64103,Tavern of South Bend,David Martin,Operations Manager,info@tavernofsouthbend.com,(574) 909-8303,9020 Main St,South Bend,IN,Indiana,41565,Tavern,B,103900,Clover,75,True,False,22,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739418
IN-52187,South Bend Bistro,John Johnson,Manager,info@southbendbistro.com,(930) 270-8418,1636 Market St,South Bend,IN,Indiana,31974,Bistro,B,103900,TouchBistro,65,True,True,30,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739426
IN-11559,Artisan Cafe on Main,Susan Anderson,Manager,info@artisancafeonmain.com,(812) 566-5309,2549 Park Ave,Indianapolis,IN,Indiana,70924,Cafe,A,876400,Revel,70,True,False,9,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739433
IN-50143,Moore's Tavern,Robert Moore,General Manager,info@moorestavern.com,(765) 777-4647,9325 Washington St,Indianapolis,IN,Indiana,57187,Tavern,A,876400,ShopKeep,70,True,True,5,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739441
IN-50350,Fort Wayne Pub,Karen Jackson,Operations Manager,info@fortwaynepub.com,(260) 810-1008,9736 Maple Ave,Fort Wayne,IN,Indiana,57827,Pub,B,269800,Micros,75,True,True,6,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739449
IN-76155,Fort Wayne Bistro,Jessica Lee,Operations Manager,info@fortwaynebistro.com,(765) 971-3011,1038 River Rd,Fort Wayne,IN,Indiana,97352,Grill,B,269800,Cake POS,75,True,True,18,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739456
IN-98972,Evansville Kitchen,Elizabeth Smith,Owner,info@evansvillekitchen.com,(260) 661-4247,7045 Lake St,Evansville,IN,Indiana,77581,Cafe,B,117300,Aloha,80,True,False,20,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739468
IN-66583,Diner of Indianapolis,Jessica Rodriguez,Owner,info@dinerofindianapolis.com,(219) 907-1820,9166 Main St,Indianapolis,IN,Indiana,73957,Diner,A,876400,Square,85,True,True,3,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739481
IN-41248,Fort Wayne Pub,John Williams,Operations Manager,info@fortwaynepub.com,(930) 955-4063,2978 Oak St,Fort Wayne,IN,Indiana,42179,Bar,B,269800,Cake POS,75,True,False,30,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739489
IN-37873,Bistro & Grill,Elizabeth Thompson,Operations Manager,info@bistroandgrill.com,(930) 724-2499,1205 Pine St,Fort Wayne,IN,Indiana,44131,Bistro,B,269800,Micros,75,True,False,16,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739497
IN-63979,The Urban Bistro,James Lee,Owner,info@theurbanbistro.com,(574) 396-9035,3191 Lake St,Evansville,IN,Indiana,77716,Bistro,B,117300,Aloha,80,True,True,34,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739505
IN-91877,Indianapolis Pub,Christopher Lee,Owner,info@indianapolispub.com,(260) 818-9685,6843 Chestnut St,Indianapolis,IN,Indiana,65571,Bar,A,876400,ShopKeep,70,True,True,18,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739516
IN-87898,Historic Bistro on Main,Mary Taylor,Operations Manager,info@historicbistroonmain.com,(463) 481-6365,8829 Maple Ave,Indianapolis,IN,Indiana,28070,Bistro,A,876400,Square,85,True,False,13,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739527
IN-81768,South Bend Urban Diner,Susan Jackson,Owner,info@southbendurbandiner.com,(765) 328-3607,1344 River Rd,South Bend,IN,Indiana,52802,Diner,B,103900,TouchBistro,65,True,True,33,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739546
IN-36363,Fort Wayne Bistro,Joseph Smith,Operations Manager,info@fortwaynebistro.com,(463) 316-9380,8086 Market St,Fort Wayne,IN,Indiana,32588,Restaurant,B,269800,ShopKeep,70,True,True,3,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739560
IN-29836,Indianapolis Historic Cafe,Christopher Jackson,Operations Manager,info@indianapolishistoric.com,(812) 971-6260,5824 Chestnut St,Indianapolis,IN,Indiana,50309,Cafe,A,876400,ShopKeep,70,False,False,15,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739571
IN-69970,Indianapolis Bistro,Thomas Jackson,General Manager,info@indianapolisbistro.com,(812) 265-1382,770 Maple Ave,Indianapolis,IN,Indiana,86296,Bistro,A,876400,Square,85,False,True,28,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739593
IN-84905,Evansville Classic Restaurant,Mary Rodriguez,Owner,info@evansvilleclassicres.com,(765) 249-9466,392 River Rd,Evansville,IN,Indiana,99678,Restaurant,B,117300,ShopKeep,70,False,True,24,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Evansville,Midwest",2026-05-07T20:52:45.739604
IN-23662,Johnson's Kitchen,Patricia Johnson,Manager,info@johnsonskitchen.com,(219) 295-4594,1869 Park Ave,Indianapolis,IN,Indiana,73577,Kitchen,A,876400,Square,85,True,True,21,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739617
IN-46872,Carmel Eatery,Robert Hernandez,Owner,info@carmeleatery.com,(765) 903-5227,1731 Elm St,Carmel,IN,Indiana,70281,Tavern,C,53728,Unknown,40,True,True,7,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739630
IN-47935,Brown's Tavern,Barbara Brown,Manager,info@brownstavern.com,(574) 254-8106,8693 Oak St,Bloomington,IN,Indiana,15062,Tavern,C,25811,Clover,75,False,False,26,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739643
IN-86972,Artisan Diner on Main,Charles Jackson,General Manager,info@artisandineronmain.com,(463) 233-8765,2330 Park Ave,Bloomington,IN,Indiana,46608,Diner,C,69629,Revel,70,False,True,25,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739659
IN-81339,Williams's Diner,Elizabeth Williams,Owner,info@williamssdiner.com,(463) 698-1916,3563 Pine St,Carmel,IN,Indiana,21258,Diner,C,41412,Unknown,40,True,False,19,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739670
IN-51295,Bistro & Grill,Susan Thompson,Manager,info@bistroandgrill.com,(765) 709-6325,9691 River Rd,Fishers,IN,Indiana,94003,Bistro,C,62237,Unknown,40,False,True,28,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739689
IN-40676,Carmel Fresh Grill,Jessica Wilson,General Manager,info@carmelfreshgrill.com,(317) 520-8098,5430 Main St,Carmel,IN,Indiana,51860,Grill,C,32422,ShopKeep,70,True,True,9,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739714
IN-15913,Downtown Tavern,Elizabeth Lopez,Owner,info@downtowntavern.com,(812) 851-4402,906 Market St,Carmel,IN,Indiana,11010,Tavern,C,53876,Lightspeed,60,True,True,25,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739728
IN-28123,Bloomington Grand Grill,Michael Moore,Manager,info@bloomingtongrandgril.com,(812) 330-1974,1664 Pine St,Bloomington,IN,Indiana,34850,Grill,C,46220,Micros,75,True,True,32,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739744
IN-21925,Fishers Golden Eatery,Richard Moore,Owner,info@fishersgoldeneatery.com,(260) 901-3481,9768 Maple Ave,Fishers,IN,Indiana,28708,Eatery,C,67747,ShopKeep,70,True,False,26,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739753
IN-65193,Carmel Pub,Joseph Davis,Operations Manager,info@carmelpub.com,(930) 685-3428,376 Lake St,Carmel,IN,Indiana,91229,Tavern,C,50600,Aloha,80,True,True,31,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739761
IN-72949,Carmel Bistro,Richard Johnson,General Manager,info@carmelbistro.com,(260) 855-5227,935 Maple Ave,Carmel,IN,Indiana,20602,Cafe,C,37056,Revel,70,True,True,23,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739769
IN-83213,West Carmel Bistro,Charles Jackson,General Manager,info@westcarmelbistro.com,(812) 268-5100,263 Washington St,Carmel,IN,Indiana,79456,Bistro,C,28149,Unknown,40,True,True,16,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739777
IN-82187,Uptown Bar,Jennifer Jackson,Manager,info@uptownbar.com,(317) 811-9460,7809 Market St,Carmel,IN,Indiana,49780,Bar,C,48695,Micros,75,True,False,2,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739785
IN-44545,Cafe Co.,William Wilson,Manager,info@cafeco..com,(219) 423-1885,795 Washington St,Fishers,IN,Indiana,76630,Cafe,C,32404,Lightspeed,60,True,False,26,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739800
IN-23235,Carmel Eatery,Elizabeth Miller,Operations Manager,info@carmeleatery.com,(812) 989-9590,2160 Pine St,Carmel,IN,Indiana,67357,Bistro,C,69489,Cake POS,75,False,True,5,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739811
IN-48512,The Classic Bistro,Robert Thompson,General Manager,info@theclassicbistro.com,(812) 613-3714,9297 Park Ave,Fishers,IN,Indiana,25759,Bistro,C,77577,Micros,75,True,True,18,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739819
IN-80972,Artisan Bistro on Main,Elizabeth Moore,Manager,info@artisanbistroonmain.com,(219) 283-2857,1720 Washington St,Bloomington,IN,Indiana,22755,Bistro,C,63154,Clover,75,True,True,26,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739827
IN-22999,The Silver Restaurant,Linda Rodriguez,General Manager,info@thesilverrestaurant.com,(260) 563-9124,9833 Maple Ave,Bloomington,IN,Indiana,52913,Restaurant,C,42936,Aloha,80,True,True,10,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739836
IN-96712,The Royal Kitchen,Robert Williams,General Manager,info@theroyalkitchen.com,(574) 543-4302,9250 River Rd,Carmel,IN,Indiana,92395,Kitchen,C,72795,Micros,75,True,True,17,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739847
IN-33325,Carmel Bistro,Charles Martin,Operations Manager,info@carmelbistro.com,(574) 564-1930,6207 Maple Ave,Carmel,IN,Indiana,54118,Bistro,C,70452,TouchBistro,65,True,True,30,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739855
IN-94676,Pub Co.,David Wilson,Owner,info@pubco..com,(317) 493-1406,5891 Elm St,Carmel,IN,Indiana,59281,Pub,C,71999,Clover,75,True,True,27,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739863
IN-12930,West Bloomington Kitchen,Michael Moore,Operations Manager,info@westbloomingtonkitch.com,(317) 939-9685,9078 Market St,Bloomington,IN,Indiana,25215,Kitchen,C,35615,Square,85,True,True,28,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739872
IN-47720,Downtown Pub,William Lopez,Owner,info@downtownpub.com,(463) 403-4017,7073 Maple Ave,Carmel,IN,Indiana,66671,Pub,C,45903,Lightspeed,60,False,True,11,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739879
IN-48068,Fishers Pub,Christopher Brown,General Manager,info@fisherspub.com,(574) 324-5771,1781 River Rd,Fishers,IN,Indiana,64909,Bistro,C,37529,TouchBistro,65,True,True,29,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739893
IN-28493,Bloomington Kitchen,David Moore,General Manager,info@bloomingtonkitchen.com,(812) 818-8532,8412 Lake St,Bloomington,IN,Indiana,23691,Kitchen,C,43828,Lightspeed,60,True,True,1,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739901
IN-17202,Classic Cafe on Main,Karen Brown,Operations Manager,info@classiccafeonmain.com,(219) 270-6741,8125 Washington St,Fishers,IN,Indiana,73041,Cafe,C,26176,Clover,75,True,False,25,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739910
IN-35413,Bloomington Pub,Jennifer Smith,Owner,info@bloomingtonpub.com,(765) 903-5380,6758 Pine St,Bloomington,IN,Indiana,43649,Bistro,C,35692,Toast,60,True,True,13,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.739919
IN-56730,Martinez's Bar,Christopher Martinez,Manager,info@martinezsbar.com,(317) 962-9718,5112 Oak St,Carmel,IN,Indiana,70180,Bar,C,66166,Toast,60,True,True,34,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739930
