Client,Type,Rep,System,HW_Maint,Revenue_Tracking,Primary_Contact,Phone,Cell,Tax_Pct,Tax_Pct2,Tax_District,Store_Address,City,State,Zip,Email,Ops_Email,Billing_Email,Notes,Country,Source,Import_Date
Calzado León,INDUSTRIAL,AH,,NO,,Miguel Rodríguez,+52 (826) 2208-1010,+52 (826) 2208-1010,0.16,,NLE,,Monterrey,NLE,14014,miguel.rodríguez@calzadoleón.com.mx,,,"Industry: Manufacturing, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Sofía Gómez,+52 (991) 7315-6775,+52 (991) 7315-6775,0.16,,YUC,,Valladolid,YUC,99371,sgómez@turismomaya.mx,,,"Industry: Tourism, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Antonio Ramírez,+52 (428) 5122-7872,+52 (428) 5122-7872,0.16,,GUA,,Guanajuato City,GUA,37148,ramírez.antonio@automotrizpuebla.com,,,"Industry: Automotive, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Ana Flores,+52 (274) 7437-1175,+52 (274) 7437-1175,0.16,,VER,,Xalapa,VER,73402,aflores@turismomaya.mx,,,"Industry: Tourism, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,María Cruz,+52 (667) 6439-3432,+52 (667) 6439-3432,0.16,,SIN,,Mazatlán,SIN,84794,mcruz@turismomaya.mx,,,"Industry: Tourism, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Fernando Sánchez,+52 (963) 1705-8507,+52 (963) 1705-8507,0.16,,CHP,,Tuxtla Gutiérrez,CHP,43695,fsánchez@petroveracruz.mx,,,"Industry: Petroleum, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Daniel Reyes,+52 (962) 7119-9512,+52 (962) 7119-9512,0.16,,CHP,,Tuxtla Gutiérrez,CHP,47518,reyes.daniel@turismomaya.com,,,"Industry: Tourism, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,LG,,NO,,Juan Torres,+52 (341) 9310-1372,+52 (341) 9310-1372,0.16,,JAL,,Zapopan,JAL,36159,jtorres@tequilapremium.mx,,,"Industry: Beverages, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Sofía Martínez,+52 (664) 3937-0556,+52 (664) 3937-0556,0.16,,BCN,,Ensenada,BCN,95524,martínez.sofía@automotrizpuebla.com,,,"Industry: Automotive, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Daniel Torres,+52 (477) 4337-3166,+52 (477) 4337-3166,0.16,,GUA,,Guanajuato City,GUA,16715,dtorres@bancariacentral.mx,,,"Industry: Finance, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Alejandra Gómez,+52 (656) 8003-6626,+52 (656) 8003-6626,0.16,,CHH,,Delicias,CHH,47234,agómez@automotrizpuebla.mx,,,"Industry: Automotive, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Guadalupe Morales,+52 (644) 2746-3180,+52 (644) 2746-3180,0.16,,SON,,Nogales,SON,84901,guadalupe.morales@tequilapremium.com.mx,,,"Industry: Beverages, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Carlos Ortiz,+52 (826) 8263-6279,+52 (826) 8263-6279,0.16,,NLE,,San Pedro Garza García,NLE,59491,cortiz@tequilapremium.mx,,,"Industry: Beverages, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,LG,,NO,,Carmen Rodríguez,+52 (33) 5134-5499,+52 (33) 5134-5499,0.16,,JAL,,Zapopan,JAL,35634,crodríguez@calzadoleón.mx,,,"Industry: Manufacturing, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Miguel Flores,+52 (229) 8349-3076,+52 (229) 8349-3076,0.16,,VER,,Coatzacoalcos,VER,69558,mflores@caféchiapas.mx,,,"Industry: Agriculture, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Roberto García,+52 (222) 4772-3968,+52 (222) 4772-3968,0.16,,PUE,,Puebla City,PUE,36897,garcía.roberto@petroveracruz.com,,,"Industry: Petroleum, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Francisco Rodríguez,+52 (988) 4885-3793,+52 (988) 4885-3793,0.16,,YUC,,Mérida,YUC,88872,rodríguez.francisco@petroveracruz.com,,,"Industry: Petroleum, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,AH,,NO,,Fernando Rivera,+52 (999) 4100-9490,+52 (999) 4100-9490,0.16,,YUC,,Mérida,YUC,82774,fernando.rivera@calzadoleón.com.mx,,,"Industry: Manufacturing, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Luis Reyes,+52 (961) 6741-9131,+52 (961) 6741-9131,0.16,,CHP,,Tapachula,CHP,58799,reyes.luis@tequilapremium.com,,,"Industry: Beverages, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Guadalupe Reyes,+52 (614) 8846-2738,+52 (614) 8846-2738,0.16,,CHH,,Chihuahua City,CHH,20633,reyes.guadalupe@tequilapremium.com,,,"Industry: Beverages, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Carlos Gómez,+52 (828) 3854-5128,+52 (828) 3854-5128,0.16,,NLE,,Monterrey,NLE,72182,gómez.carlos@automotrizpuebla.com,,,"Industry: Automotive, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Luis González,+52 (271) 5111-0134,+52 (271) 5111-0134,0.16,,VER,,Veracruz City,VER,15322,lgonzález@bancariacentral.mx,,,"Industry: Finance, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,LG,,NO,,Luis Martínez,+52 (55) 3533-2161,+52 (55) 3533-2161,0.16,,CDMX,,Coyoacán,CDMX,23965,martínez.luis@tequilapremium.com,,,"Industry: Beverages, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,LG,,NO,,Carmen Gutiérrez,+52 (33) 2412-2788,+52 (33) 2412-2788,0.16,,JAL,,Zapopan,JAL,78220,gutiérrez.carmen@bancariacentral.com,,,"Industry: Finance, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Fernando Sánchez,+52 (668) 6272-4604,+52 (668) 6272-4604,0.16,,SIN,,Culiacán,SIN,82903,fsánchez@caféchiapas.mx,,,"Industry: Agriculture, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Diego Gómez,+52 (999) 5120-6036,+52 (999) 5120-6036,0.16,,YUC,,Mérida,YUC,14108,dgómez@tequilapremium.mx,,,"Industry: Beverages, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Antonio Gutiérrez,+52 (614) 8572-3513,+52 (614) 8572-3513,0.16,,CHH,,Ciudad Juárez,CHH,17086,agutiérrez@caféchiapas.mx,,,"Industry: Agriculture, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Daniel González,+52 (828) 7362-0734,+52 (828) 7362-0734,0.16,,NLE,,San Pedro Garza García,NLE,45708,daniel.gonzález@automotrizpuebla.com.mx,,,"Industry: Automotive, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Francisco Morales,+52 (828) 6425-5496,+52 (828) 6425-5496,0.16,,NLE,,San Pedro Garza García,NLE,93011,morales.francisco@automotrizpuebla.com,,,"Industry: Automotive, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,LG,,NO,,Jorge Gutiérrez,+52 (55) 7148-4842,+52 (55) 7148-4842,0.16,,CDMX,,Gustavo A. Madero,CDMX,28151,gutiérrez.jorge@calzadoleón.com,,,"Industry: Manufacturing, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,LG,,NO,,Carmen Ortiz,+52 (33) 6799-4078,+52 (33) 6799-4078,0.16,,JAL,,Guadalajara,JAL,99470,cortiz@caféchiapas.mx,,,"Industry: Agriculture, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,AH,,NO,,Carmen Morales,+52 (222) 1199-8065,+52 (222) 1199-8065,0.16,,PUE,,Puebla City,PUE,35914,carmen.morales@calzadoleón.com.mx,,,"Industry: Manufacturing, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,LG,,NO,,Alejandra Reyes,+52 (33) 7182-9957,+52 (33) 7182-9957,0.16,,JAL,,Puerto Vallarta,JAL,15864,areyes@turismomaya.mx,,,"Industry: Tourism, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,AH,,NO,,Alejandra Ortiz,+52 (962) 6106-0300,+52 (962) 6106-0300,0.16,,CHP,,Tuxtla Gutiérrez,CHP,43616,alejandra.ortiz@calzadoleón.com.mx,,,"Industry: Manufacturing, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,María Sánchez,+52 (667) 3086-3460,+52 (667) 3086-3460,0.16,,SIN,,Mazatlán,SIN,34766,sánchez.maría@turismomaya.com,,,"Industry: Tourism, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Roberto Torres,+52 (644) 1331-3497,+52 (644) 1331-3497,0.16,,SON,,Nogales,SON,25586,roberto.torres@petroveracruz.com.mx,,,"Industry: Petroleum, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,LG,,NO,,Fernando Reyes,+52 (342) 5458-0931,+52 (342) 5458-0931,0.16,,JAL,,Puerto Vallarta,JAL,53920,freyes@caféchiapas.mx,,,"Industry: Agriculture, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,LG,,NO,,María Morales,+52 (341) 1240-9040,+52 (341) 1240-9040,0.16,,JAL,,Zapopan,JAL,76984,morales.maría@turismomaya.com,,,"Industry: Tourism, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Carmen Reyes,+52 (428) 5022-6912,+52 (428) 5022-6912,0.16,,GUA,,León,GUA,68209,creyes@caféchiapas.mx,,,"Industry: Agriculture, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Pedro González,+52 (477) 1100-1970,+52 (477) 1100-1970,0.16,,GUA,,Irapuato,GUA,73040,pgonzález@automotrizpuebla.mx,,,"Industry: Automotive, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Rosa Gutiérrez,+52 (429) 3150-5716,+52 (429) 3150-5716,0.16,,GUA,,Celaya,GUA,91699,rosa.gutiérrez@petroveracruz.com.mx,,,"Industry: Petroleum, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Alejandra García,+52 (222) 3156-7260,+52 (222) 3156-7260,0.16,,PUE,,Tehuacán,PUE,33850,agarcía@automotrizpuebla.mx,,,"Industry: Automotive, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Antonio Díaz,+52 (271) 2463-5511,+52 (271) 2463-5511,0.16,,VER,,Xalapa,VER,41775,díaz.antonio@petroveracruz.com,,,"Industry: Petroleum, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,LG,,NO,,Alejandra Ortiz,+52 (55) 9357-1170,+52 (55) 9357-1170,0.16,,CDMX,,Iztapalapa,CDMX,29659,aortiz@calzadoleón.mx,,,"Industry: Manufacturing, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Carlos Gómez,+52 (669) 5772-3054,+52 (669) 5772-3054,0.16,,SIN,,Culiacán,SIN,81958,carlos.gómez@caféchiapas.com.mx,,,"Industry: Agriculture, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Daniel Torres,+52 (231) 2153-6130,+52 (231) 2153-6130,0.16,,PUE,,Puebla City,PUE,11934,dtorres@bancariacentral.mx,,,"Industry: Finance, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Carlos González,+52 (991) 9475-4429,+52 (991) 9475-4429,0.16,,YUC,,Mérida,YUC,95893,carlos.gonzález@tequilapremium.com.mx,,,"Industry: Beverages, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,LG,,NO,,Diego Morales,+52 (56) 9983-3727,+52 (56) 9983-3727,0.16,,CDMX,,Iztapalapa,CDMX,61385,diego.morales@tequilapremium.com.mx,,,"Industry: Beverages, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,AH,,NO,,José González,+52 (81) 2658-5020,+52 (81) 2658-5020,0.16,,NLE,,Monterrey,NLE,32567,jgonzález@tecnologíadelnorte.mx,,,"Industry: Technology, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,LG,,NO,,Carlos Torres,+52 (55) 9593-1246,+52 (55) 9593-1246,0.16,,CDMX,,Coyoacán,CDMX,66639,carlos.torres@tecnologíadelnorte.com.mx,,,"Industry: Technology, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Luis Reyes,+52 (664) 2927-8731,+52 (664) 2927-8731,0.16,,BCN,,Tijuana,BCN,20504,luis.reyes@caféchiapas.com.mx,,,"Industry: Agriculture, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Antonio Hernández,+52 (639) 5574-2133,+52 (639) 5574-2133,0.16,,CHH,,Ciudad Juárez,CHH,39054,antonio.hernández@caféchiapas.com.mx,,,"Industry: Agriculture, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Juan Gómez,+52 (667) 9602-2180,+52 (667) 9602-2180,0.16,,SIN,,Culiacán,SIN,43162,gómez.juan@automotrizpuebla.com,,,"Industry: Automotive, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Carlos Martínez,+52 (222) 8548-4607,+52 (222) 8548-4607,0.16,,PUE,,Atlixco,PUE,14556,cmartínez@automotrizpuebla.mx,,,"Industry: Automotive, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,LG,,NO,,Alejandra Ortiz,+52 (55) 6601-4080,+52 (55) 6601-4080,0.16,,CDMX,,Gustavo A. Madero,CDMX,14244,alejandra.ortiz@petroveracruz.com.mx,,,"Industry: Petroleum, State: Ciudad de México",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Diego López,+52 (962) 1493-7207,+52 (962) 1493-7207,0.16,,CHP,,Tapachula,CHP,22990,dlópez@tequilapremium.mx,,,"Industry: Beverages, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Carmen Ramírez,+52 (826) 8750-7956,+52 (826) 8750-7956,0.16,,NLE,,Monterrey,NLE,87831,cramírez@petroveracruz.mx,,,"Industry: Petroleum, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Miguel Hernández,+52 (81) 4751-0496,+52 (81) 4751-0496,0.16,,NLE,,Monterrey,NLE,50303,hernández.miguel@tequilapremium.com,,,"Industry: Beverages, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,LG,,NO,,Diego Rivera,+52 (342) 9007-4530,+52 (342) 9007-4530,0.16,,JAL,,Puerto Vallarta,JAL,32464,drivera@bancariacentral.mx,,,"Industry: Finance, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Roberto López,+52 (963) 1699-1805,+52 (963) 1699-1805,0.16,,CHP,,Tuxtla Gutiérrez,CHP,34067,lópez.roberto@bancariacentral.com,,,"Industry: Finance, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Alejandra Sánchez,+52 (642) 9592-2085,+52 (642) 9592-2085,0.16,,SON,,Hermosillo,SON,53993,asánchez@tequilapremium.mx,,,"Industry: Beverages, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Carlos Morales,+52 (81) 8343-7165,+52 (81) 8343-7165,0.16,,NLE,,Monterrey,NLE,69288,carlos.morales@caféchiapas.com.mx,,,"Industry: Agriculture, State: Nuevo León",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Fernando Gómez,+52 (274) 3862-1596,+52 (274) 3862-1596,0.16,,VER,,Xalapa,VER,18093,fgómez@turismomaya.mx,,,"Industry: Tourism, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,LG,,NO,,José Ortiz,+52 (341) 6868-4546,+52 (341) 6868-4546,0.16,,JAL,,Tlaquepaque,JAL,36094,josé.ortiz@automotrizpuebla.com.mx,,,"Industry: Automotive, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Francisco Reyes,+52 (999) 7272-9187,+52 (999) 7272-9187,0.16,,YUC,,Progreso,YUC,31981,reyes.francisco@bancariacentral.com,,,"Industry: Finance, State: Yucatán",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,LG,,NO,,Diego Gómez,+52 (341) 2628-2322,+52 (341) 2628-2322,0.16,,JAL,,Zapopan,JAL,12527,dgómez@tecnologíadelnorte.mx,,,"Industry: Technology, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,AH,,NO,,Luis Cruz,+52 (229) 7924-3899,+52 (229) 7924-3899,0.16,,VER,,Coatzacoalcos,VER,68664,lcruz@tecnologíadelnorte.mx,,,"Industry: Technology, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Diego Cruz,+52 (428) 6167-0538,+52 (428) 6167-0538,0.16,,GUA,,Irapuato,GUA,49495,diego.cruz@bancariacentral.com.mx,,,"Industry: Finance, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Calzado León,INDUSTRIAL,AH,,NO,,Rosa Chávez,+52 (477) 4205-8890,+52 (477) 4205-8890,0.16,,GUA,,Irapuato,GUA,11165,chávez.rosa@calzadoleón.com,,,"Industry: Manufacturing, State: Guanajuato",MX,Mexico_Business_Directory,2026-07-14
Tecnología del Norte,TECH,LG,,NO,,Alejandra Gutiérrez,+52 (33) 4418-0007,+52 (33) 4418-0007,0.16,,JAL,,Tlaquepaque,JAL,75458,agutiérrez@tecnologíadelnorte.mx,,,"Industry: Technology, State: Jalisco",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Miguel Pérez,+52 (644) 5267-2122,+52 (644) 5267-2122,0.16,,SON,,Ciudad Obregón,SON,42641,miguel.pérez@petroveracruz.com.mx,,,"Industry: Petroleum, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Francisco Gutiérrez,+52 (667) 1445-4448,+52 (667) 1445-4448,0.16,,SIN,,Los Mochis,SIN,82893,francisco.gutiérrez@tequilapremium.com.mx,,,"Industry: Beverages, State: Sinaloa",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Juan Ramírez,+52 (644) 5133-8365,+52 (644) 5133-8365,0.16,,SON,,Hermosillo,SON,77888,juan.ramírez@petroveracruz.com.mx,,,"Industry: Petroleum, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Turismo Maya,GENERAL,AH,,NO,,Miguel Cruz,+52 (963) 5249-9589,+52 (963) 5249-9589,0.16,,CHP,,San Cristóbal de las Casas,CHP,34379,cruz.miguel@turismomaya.com,,,"Industry: Tourism, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,José Chávez,+52 (644) 3559-1365,+52 (644) 3559-1365,0.16,,SON,,Nogales,SON,38456,chávez.josé@tequilapremium.com,,,"Industry: Beverages, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Sofía Martínez,+52 (271) 3467-4599,+52 (271) 3467-4599,0.16,,VER,,Veracruz City,VER,93535,sofía.martínez@tequilapremium.com.mx,,,"Industry: Beverages, State: Veracruz",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Antonio Gómez,+52 (962) 5792-2247,+52 (962) 5792-2247,0.16,,CHP,,Tapachula,CHP,89811,agómez@caféchiapas.mx,,,"Industry: Agriculture, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
Tequila Premium,GENERAL,AH,,NO,,Rosa García,+52 (963) 5091-5617,+52 (963) 5091-5617,0.16,,CHP,,Tapachula,CHP,48059,rosa.garcía@tequilapremium.com.mx,,,"Industry: Beverages, State: Chiapas",MX,Mexico_Business_Directory,2026-07-14
PetroVeracruz,GENERAL,AH,,NO,,Fernando Pérez,+52 (642) 3262-7904,+52 (642) 3262-7904,0.16,,SON,,Hermosillo,SON,63910,fpérez@petroveracruz.mx,,,"Industry: Petroleum, State: Sonora",MX,Mexico_Business_Directory,2026-07-14
Café Chiapas,AGRICULTURE,AH,,NO,,Luis Flores,+52 (656) 8506-8602,+52 (656) 8506-8602,0.16,,CHH,,Delicias,CHH,55919,flores.luis@caféchiapas.com,,,"Industry: Agriculture, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,Daniel González,+52 (222) 8187-7196,+52 (222) 8187-7196,0.16,,PUE,,Tehuacán,PUE,48425,gonzález.daniel@bancariacentral.com,,,"Industry: Finance, State: Puebla",MX,Mexico_Business_Directory,2026-07-14
Automotriz Puebla,GENERAL,AH,,NO,,Antonio Ortiz,+52 (664) 8894-1551,+52 (664) 8894-1551,0.16,,BCN,,Ensenada,BCN,79807,aortiz@automotrizpuebla.mx,,,"Industry: Automotive, State: Baja California",MX,Mexico_Business_Directory,2026-07-14
Bancaria Central,FINANCE,AH,,NO,,María Ramírez,+52 (656) 5975-0679,+52 (656) 5975-0679,0.16,,CHH,,Delicias,CHH,18110,mramírez@bancariacentral.mx,,,"Industry: Finance, State: Chihuahua",MX,Mexico_Business_Directory,2026-07-14
