Client,Type,Rep,System,HW_Maint,Revenue_Tracking,Primary_Contact,Phone,Cell,Tax_Pct,Tax_Pct2,Tax_District,Store_Address,City,State,Zip,Email,Ops_Email,Billing_Email,Notes,Country,Source,Import_Date
M/I Homes,REAL ESTATE,RA,,NO,,Catherine Brooks,(442) 327-2834,(442) 327-2834,0.065,,FLA,,Miami,FL,,brooks.catherine@kw.com,,,"Experience: 5 years, Transactions: 22, Volume: $11,462,249",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,AH,,NO,,Barbara Ruiz,(972) 980-3555,(972) 980-3555,0.08,,GEN,,Atlanta,GA,,barbarar@berkshirehathawayhs.com,,,"Experience: 9 years, Transactions: 19, Volume: $13,513,722",US,CREAM_RealEstate,2026-03-30
Coldwell Banker,REAL ESTATE,AH,,NO,,Jason White,(567) 326-4722,(567) 326-4722,0.08,,GEN,,Colorado Springs,CO,,jason.white@yahoo.com,,,"Experience: 6 years, Transactions: 22, Volume: $9,747,458",US,CREAM_RealEstate,2026-03-30
CalAtlantic Homes,REAL ESTATE,DK,,NO,,Carol Turner,(214) 485-7324,(214) 485-7324,0.065,,SEA,,Seattle,WA,,carolt@gmail.com,,,"Experience: 8 years, Transactions: 48, Volume: $12,637,497",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,AH,,NO,,Kimberly Morales,(702) 273-8881,(702) 273-8881,0.08,,GEN,,Louisville,KY,,kimberly.morales@kw.com,,,"Experience: 14 years, Transactions: 39, Volume: $14,765,907",US,CREAM_RealEstate,2026-03-30
Coldwell Banker,REAL ESTATE,LG,,NO,,Sarah Davis,(857) 822-6019,(857) 822-6019,0.0825,,TEX,,Houston,TX,,sdavis@outlook.com,,,"Experience: 3 years, Transactions: 11, Volume: $749,981",US,CREAM_RealEstate,2026-03-30
Weichert,REAL ESTATE,AH,,NO,,Melissa Bennett,(423) 945-3434,(423) 945-3434,0.08,,GEN,,Chicago,IL,,mbennett@century21.com,,,"Experience: 16 years, Transactions: 30, Volume: $6,301,751",US,CREAM_RealEstate,2026-03-30
HomeSmart,REAL ESTATE,RA,,NO,,Lisa Price,(321) 943-8278,(321) 943-8278,0.065,,FLA,,Miami,FL,,price.lisa@realtor.com,,,"Experience: 22 years, Transactions: 46, Volume: $6,170,708",US,CREAM_RealEstate,2026-03-30
Lennar,REAL ESTATE,AH,,NO,,Patricia Green,(657) 668-8710,(657) 668-8710,0.08,,GEN,,Albuquerque,NM,,patriciag@coldwellbanker.com,,,"Experience: 4 years, Transactions: 8, Volume: $648,083",US,CREAM_RealEstate,2026-03-30
RE/MAX,REAL ESTATE,LG,,NO,,Robert Watson,(724) 425-4417,(724) 425-4417,0.08,,GEN,,Tucson,AZ,,robert31@century21.com,,,"Experience: 2 years, Transactions: 3, Volume: $1,137,054",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,AH,,NO,,Nicholas Jones,(754) 459-7769,(754) 459-7769,0.08,,GEN,,Oklahoma City,OK,,jones.nicholas@coldwellbanker.com,,,"Experience: 19 years, Transactions: 20, Volume: $5,258,569",US,CREAM_RealEstate,2026-03-30
The Agency,REAL ESTATE,RA,,NO,,Andrew Collins,(502) 253-2607,(502) 253-2607,0.065,,FLA,,Jacksonville,FL,,acollins@weichert.com,,,"Experience: 9 years, Transactions: 37, Volume: $3,304,205",US,CREAM_RealEstate,2026-03-30
Compass,REAL ESTATE,AH,,NO,,Tyler Diaz,(801) 849-7277,(801) 849-7277,0.0925,,SF,,Sacramento,CA,,tylerd@berkshirehathawayhs.com,,,"Experience: 24 years, Transactions: 15, Volume: $12,264,245",US,CREAM_RealEstate,2026-03-30
Vylla Home,REAL ESTATE,AH,,NO,,Jennifer Kim,(207) 702-3927,(207) 702-3927,0.08,,GEN,,Minneapolis,MN,,jennifer.kim@realtyonegroup.com,,,"Experience: 12 years, Transactions: 42, Volume: $4,541,828",US,CREAM_RealEstate,2026-03-30
The Agency,REAL ESTATE,AH,,NO,,Samantha Taylor,(702) 904-1494,(702) 904-1494,0.08,,GEN,,Albuquerque,NM,,samantha.taylor@exprealty.com,,,"Experience: 0 years, Transactions: 1, Volume: $382,592",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,AH,,NO,,Jonathan Perez,(601) 495-6316,(601) 495-6316,0.08,,GEN,,Louisville,KY,,jonathan89@remax.net,,,"Experience: 24 years, Transactions: 28, Volume: $12,779,102",US,CREAM_RealEstate,2026-03-30
ERA,REAL ESTATE,AH,,NO,,Maria Rivera,(717) 478-9793,(717) 478-9793,0.08,,GEN,,Cleveland,OH,,maria.rivera@compass.com,,,"Experience: 23 years, Transactions: 34, Volume: $12,241,968",US,CREAM_RealEstate,2026-03-30
NVR,REAL ESTATE,AH,,NO,,Stephen Bennett,(410) 593-4175,(410) 593-4175,0.08,,GEN,,Memphis,TN,,stephen.bennett@remax.net,,,"Experience: 17 years, Transactions: 40, Volume: $11,695,520",US,CREAM_RealEstate,2026-03-30
Weichert,REAL ESTATE,AH,,NO,,Justin Lopez,(832) 531-7772,(832) 531-7772,0.08,,GEN,,Baton Rouge,LA,,jlopez@coldwellbanker.com,,,"Experience: 10 years, Transactions: 24, Volume: $3,193,279",US,CREAM_RealEstate,2026-03-30
Meritage Homes,REAL ESTATE,AH,,NO,,Amanda Patel,(785) 313-6871,(785) 313-6871,0.08,,GEN,,Indianapolis,IN,,amandap@kw.com,,,"Experience: 8 years, Transactions: 16, Volume: $7,077,104",US,CREAM_RealEstate,2026-03-30
D.R. Horton,REAL ESTATE,AH,,NO,,Samantha Evans,(954) 754-6428,(954) 754-6428,0.08,,GEN,,Nashville,TN,,samanthae@sothebysrealty.com,,,"Experience: 6 years, Transactions: 46, Volume: $8,796,094",US,CREAM_RealEstate,2026-03-30
Meritage Homes,REAL ESTATE,AH,,NO,,Anna Moore,(334) 937-4786,(334) 937-4786,0.08,,GEN,,Nashville,TN,,amoore@outlook.com,,,"Experience: 7 years, Transactions: 27, Volume: $5,953,675",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,RA,,NO,,Jack King,(773) 711-9947,(773) 711-9947,0.065,,FLA,,Tampa,FL,,jking@redfin.com,,,"Experience: 23 years, Transactions: 29, Volume: $5,152,568",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,AH,,NO,,Edward Myers,(270) 787-6570,(270) 787-6570,0.08,,GEN,,Baton Rouge,LA,,edward.myers@berkshirehathawayhs.com,,,"Experience: 1 years, Transactions: 4, Volume: $244,256",US,CREAM_RealEstate,2026-03-30
Pulte Homes,REAL ESTATE,AH,,NO,,Larry Gray,(602) 614-4444,(602) 614-4444,0.08,,GEN,,Baton Rouge,LA,,larryg@weichert.com,,,"Experience: 21 years, Transactions: 35, Volume: $1,759,157",US,CREAM_RealEstate,2026-03-30
Century Communities,REAL ESTATE,LG,,NO,,Joseph Williams,(937) 434-2637,(937) 434-2637,0.0685,,GEN,,Las Vegas,NV,,williams.joseph@century21.com,,,"Experience: 1 years, Transactions: 0, Volume: $56,645",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,AH,,NO,,Carol Nelson,(513) 390-4111,(513) 390-4111,0.08,,GEN,,Milwaukee,WI,,carol76@realtyonegroup.com,,,"Experience: 15 years, Transactions: 40, Volume: $8,526,591",US,CREAM_RealEstate,2026-03-30
ERA,REAL ESTATE,LG,,NO,,Robert Ross,(210) 540-4860,(210) 540-4860,0.08,,GEN,,Tucson,AZ,,ross.robert@outlook.com,,,"Experience: 5 years, Transactions: 48, Volume: $7,132,583",US,CREAM_RealEstate,2026-03-30
LGI Homes,REAL ESTATE,AH,,NO,,Jennifer Phillips,(502) 461-6914,(502) 461-6914,0.08,,GEN,,Memphis,TN,,jennifer13@realtyonegroup.com,,,"Experience: 21 years, Transactions: 26, Volume: $5,699,618",US,CREAM_RealEstate,2026-03-30
ERA,REAL ESTATE,LG,,NO,,Maria Garcia,(334) 925-3825,(334) 925-3825,0.08,,GEN,,Tucson,AZ,,maria27@realtyonegroup.com,,,"Experience: 5 years, Transactions: 26, Volume: $3,477,863",US,CREAM_RealEstate,2026-03-30
United Real Estate,REAL ESTATE,LG,,NO,,Susan Cox,(501) 964-3699,(501) 964-3699,0.0825,,TEX,,San Antonio,TX,,susan81@coldwellbanker.com,,,"Experience: 13 years, Transactions: 45, Volume: $8,449,558",US,CREAM_RealEstate,2026-03-30
M/I Homes,REAL ESTATE,LG,,NO,,Catherine Gonzalez,(253) 606-4517,(253) 606-4517,0.0685,,GEN,,Reno,NV,,catherine.gonzalez@redfin.com,,,"Experience: 14 years, Transactions: 26, Volume: $2,573,981",US,CREAM_RealEstate,2026-03-30
Better Homes & Gardens,REAL ESTATE,RA,,NO,,Jeffrey Scott,(415) 878-1469,(415) 878-1469,0.065,,FLA,,Jacksonville,FL,,jeffrey.scott@exprealty.com,,,"Experience: 24 years, Transactions: 19, Volume: $7,289,799",US,CREAM_RealEstate,2026-03-30
The Agency,REAL ESTATE,AH,,NO,,Carolyn Hall,(724) 662-6043,(724) 662-6043,0.08,,GEN,,Atlanta,GA,,hall.carolyn@yahoo.com,,,"Experience: 13 years, Transactions: 35, Volume: $13,399,783",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,DK,,NO,,Eric James,(762) 561-3958,(762) 561-3958,0.065,,SEA,,Seattle,WA,,james.eric@homesmart.com,,,"Experience: 11 years, Transactions: 25, Volume: $7,861,897",US,CREAM_RealEstate,2026-03-30
Century 21,REAL ESTATE,AH,,NO,,Samantha Stewart,(951) 635-1471,(951) 635-1471,0.08,,GEN,,Louisville,KY,,samanthas@compass.com,,,"Experience: 25 years, Transactions: 42, Volume: $11,643,420",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,AH,,NO,,Ronald Long,(501) 682-2588,(501) 682-2588,0.08,,GEN,,Minneapolis,MN,,ronaldl@realtor.com,,,"Experience: 17 years, Transactions: 18, Volume: $5,588,488",US,CREAM_RealEstate,2026-03-30
eXp Realty,REAL ESTATE,LG,,NO,,Janet Cox,(806) 544-6028,(806) 544-6028,0.08,,GEN,,Tucson,AZ,,janetc@coldwellbanker.com,,,"Experience: 20 years, Transactions: 27, Volume: $14,084,776",US,CREAM_RealEstate,2026-03-30
HomeSmart,REAL ESTATE,LG,,NO,,Helen Baker,(712) 995-8183,(712) 995-8183,0.08,,GEN,,Phoenix,AZ,,baker.helen@redfin.com,,,"Experience: 13 years, Transactions: 10, Volume: $10,750,935",US,CREAM_RealEstate,2026-03-30
Pulte Homes,REAL ESTATE,AH,,NO,,Timothy Rogers,(575) 987-6966,(575) 987-6966,0.08,,GEN,,Columbus,OH,,trogers@homesmart.com,,,"Experience: 17 years, Transactions: 18, Volume: $7,030,357",US,CREAM_RealEstate,2026-03-30
Vylla Home,REAL ESTATE,LG,,NO,,Angela Gonzalez,(952) 658-2476,(952) 658-2476,0.08,,GEN,,Tucson,AZ,,angela87@weichert.com,,,"Experience: 13 years, Transactions: 18, Volume: $9,298,358",US,CREAM_RealEstate,2026-03-30
Compass,REAL ESTATE,LG,,NO,,Timothy Martin,(323) 855-2992,(323) 855-2992,0.0685,,GEN,,Reno,NV,,martin.timothy@berkshirehathawayhs.com,,,"Experience: 2 years, Transactions: 5, Volume: $1,445,074",US,CREAM_RealEstate,2026-03-30
D.R. Horton,REAL ESTATE,LG,,NO,,Helen Hughes,(772) 839-1926,(772) 839-1926,0.08,,GEN,,Phoenix,AZ,,helen33@century21.com,,,"Experience: 9 years, Transactions: 20, Volume: $1,553,053",US,CREAM_RealEstate,2026-03-30
Beazer Homes,REAL ESTATE,LG,,NO,,Charles Smith,(612) 272-5218,(612) 272-5218,0.0825,,TEX,,Houston,TX,,csmith@hotmail.com,,,"Experience: 3 years, Transactions: 3, Volume: $1,691,812",US,CREAM_RealEstate,2026-03-30
Sotheby's,REAL ESTATE,AH,,NO,,Janet Rivera,(308) 833-3532,(308) 833-3532,0.08,,GEN,,Baltimore,MD,,janetr@homesmart.com,,,"Experience: 14 years, Transactions: 26, Volume: $11,101,408",US,CREAM_RealEstate,2026-03-30
Century Communities,REAL ESTATE,DK,,NO,,John Wilson,(920) 626-5416,(920) 626-5416,0.08,,GEN,,Portland,OR,,wilson.john@realtor.com,,,"Experience: 6 years, Transactions: 17, Volume: $3,053,418",US,CREAM_RealEstate,2026-03-30
Toll Brothers,REAL ESTATE,AH,,NO,,Nicholas Hughes,(970) 797-3962,(970) 797-3962,0.08,,GEN,,Charlotte,NC,,hughes.nicholas@elliman.com,,,"Experience: 11 years, Transactions: 11, Volume: $14,388,408",US,CREAM_RealEstate,2026-03-30
Century 21,REAL ESTATE,AH,,NO,,John Alvarez,(813) 418-4467,(813) 418-4467,0.08,,GEN,,Indianapolis,IN,,jalvarez@outlook.com,,,"Experience: 18 years, Transactions: 16, Volume: $7,301,936",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,AH,,NO,,Jeffrey Morgan,(361) 776-2190,(361) 776-2190,0.08,,GEN,,Indianapolis,IN,,morgan.jeffrey@coldwellbanker.com,,,"Experience: 21 years, Transactions: 29, Volume: $11,212,785",US,CREAM_RealEstate,2026-03-30
Douglas Elliman,REAL ESTATE,RA,,NO,,Andrew Lopez,(636) 222-9624,(636) 222-9624,0.065,,FLA,,Jacksonville,FL,,andrew.lopez@outlook.com,,,"Experience: 18 years, Transactions: 17, Volume: $13,997,798",US,CREAM_RealEstate,2026-03-30
Lennar,REAL ESTATE,AH,,NO,,Rebecca Taylor,(252) 551-2212,(252) 551-2212,0.08,,GEN,,Atlanta,GA,,rebecca.taylor@outlook.com,,,"Experience: 11 years, Transactions: 47, Volume: $6,595,359",US,CREAM_RealEstate,2026-03-30
Century Communities,REAL ESTATE,AH,,NO,,Katherine Robinson,(651) 242-8153,(651) 242-8153,0.08,,GEN,,Atlanta,GA,,katherine.robinson@outlook.com,,,"Experience: 3 years, Transactions: 6, Volume: $1,742,404",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,DK,,NO,,Brenda Cruz,(432) 587-3967,(432) 587-3967,0.065,,SEA,,Seattle,WA,,brendac@realtyonegroup.com,,,"Experience: 22 years, Transactions: 39, Volume: $6,980,656",US,CREAM_RealEstate,2026-03-30
Zillow Premier,REAL ESTATE,LG,,NO,,Rachel Campbell,(228) 377-7763,(228) 377-7763,0.0685,,GEN,,Las Vegas,NV,,rachel10@remax.net,,,"Experience: 17 years, Transactions: 30, Volume: $13,119,693",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,AH,,NO,,Robert Hall,(901) 398-2590,(901) 398-2590,0.08,,GEN,,Raleigh,NC,,roberth@realtyonegroup.com,,,"Experience: 24 years, Transactions: 14, Volume: $5,675,144",US,CREAM_RealEstate,2026-03-30
Ryan Homes,REAL ESTATE,RA,,NO,,Samantha Torres,(951) 373-8003,(951) 373-8003,0.065,,FLA,,Jacksonville,FL,,samantha.torres@gmail.com,,,"Experience: 4 years, Transactions: 12, Volume: $701,625",US,CREAM_RealEstate,2026-03-30
NVR,REAL ESTATE,AH,,NO,,Brian Harris,(818) 856-6299,(818) 856-6299,0.0925,,SF,,Riverside,CA,,harris.brian@weichert.com,,,"Experience: 1 years, Transactions: 2, Volume: $349,061",US,CREAM_RealEstate,2026-03-30
CalAtlantic Homes,REAL ESTATE,RA,,NO,,Joseph Anderson,(940) 375-3548,(940) 375-3548,0.065,,FLA,,Jacksonville,FL,,janderson@remax.net,,,"Experience: 19 years, Transactions: 42, Volume: $10,471,071",US,CREAM_RealEstate,2026-03-30
Century 21,REAL ESTATE,LG,,NO,,Andrew Anderson,(336) 921-5734,(336) 921-5734,0.0685,,GEN,,Reno,NV,,andrewa@realtor.com,,,"Experience: 24 years, Transactions: 13, Volume: $11,828,650",US,CREAM_RealEstate,2026-03-30
United Real Estate,REAL ESTATE,AH,,NO,,Ashley Cruz,(575) 639-9522,(575) 639-9522,0.0925,,SF,,San Jose,CA,,ashley.cruz@elliman.com,,,"Experience: 13 years, Transactions: 28, Volume: $12,789,335",US,CREAM_RealEstate,2026-03-30
Realty One Group,REAL ESTATE,AH,,NO,,Kevin Edwards,(417) 809-1948,(417) 809-1948,0.08,,GEN,,Baltimore,MD,,kevin.edwards@yahoo.com,,,"Experience: 3 years, Transactions: 11, Volume: $1,976,856",US,CREAM_RealEstate,2026-03-30
Taylor Morrison,REAL ESTATE,AH,,NO,,Andrew Campbell,(856) 956-4546,(856) 956-4546,0.08,,GEN,,Albuquerque,NM,,andrew21@realtor.com,,,"Experience: 5 years, Transactions: 44, Volume: $3,287,006",US,CREAM_RealEstate,2026-03-30
Better Homes & Gardens,REAL ESTATE,RA,,NO,,Matthew Ruiz,(508) 563-3649,(508) 563-3649,0.065,,FLA,,Orlando,FL,,matthew.ruiz@exprealty.com,,,"Experience: 23 years, Transactions: 49, Volume: $4,190,368",US,CREAM_RealEstate,2026-03-30
Lennar,REAL ESTATE,LG,,NO,,Scott Anderson,(909) 411-7537,(909) 411-7537,0.08,,GEN,,Tucson,AZ,,scotta@coldwellbanker.com,,,"Experience: 1 years, Transactions: 0, Volume: $90,229",US,CREAM_RealEstate,2026-03-30
Lennar,REAL ESTATE,LG,,NO,,Katherine Roberts,(781) 378-8419,(781) 378-8419,0.0825,,TEX,,San Antonio,TX,,katheriner@exprealty.com,,,"Experience: 9 years, Transactions: 48, Volume: $12,194,780",US,CREAM_RealEstate,2026-03-30
Weichert,REAL ESTATE,AH,,NO,,Frank Nguyen,(947) 348-5997,(947) 348-5997,0.08,,GEN,,Detroit,MI,,frank.nguyen@remax.net,,,"Experience: 10 years, Transactions: 50, Volume: $8,016,500",US,CREAM_RealEstate,2026-03-30
Tri Pointe Homes,REAL ESTATE,RA,,NO,,Kathleen Kim,(507) 572-1107,(507) 572-1107,0.065,,FLA,,Miami,FL,,kim.kathleen@gmail.com,,,"Experience: 18 years, Transactions: 47, Volume: $2,948,828",US,CREAM_RealEstate,2026-03-30
Pulte Homes,REAL ESTATE,AH,,NO,,Frank Myers,(870) 869-3083,(870) 869-3083,0.08,,GEN,,Indianapolis,IN,,frank.myers@exprealty.com,,,"Experience: 3 years, Transactions: 6, Volume: $1,832,332",US,CREAM_RealEstate,2026-03-30
Douglas Elliman,REAL ESTATE,AH,,NO,,Amanda Reyes,(410) 434-8230,(410) 434-8230,0.08,,GEN,,Baltimore,MD,,reyes.amanda@realtyonegroup.com,,,"Experience: 6 years, Transactions: 25, Volume: $5,098,063",US,CREAM_RealEstate,2026-03-30
HomeSmart,REAL ESTATE,AH,,NO,,Amy Jones,(580) 467-1203,(580) 467-1203,0.08,,GEN,,Boston,MA,,amy.jones@kw.com,,,"Experience: 21 years, Transactions: 15, Volume: $10,025,329",US,CREAM_RealEstate,2026-03-30
Century 21,REAL ESTATE,LG,,NO,,Karen Davis,(931) 393-6107,(931) 393-6107,0.0825,,TEX,,Austin,TX,,karend@sothebysrealty.com,,,"Experience: 13 years, Transactions: 25, Volume: $6,085,712",US,CREAM_RealEstate,2026-03-30
Nest Seekers,REAL ESTATE,AH,,NO,,Patrick Phillips,(440) 443-3267,(440) 443-3267,0.08,,GEN,,Richmond,VA,,patrickp@remax.net,,,"Experience: 19 years, Transactions: 48, Volume: $12,316,310",US,CREAM_RealEstate,2026-03-30
M/I Homes,REAL ESTATE,DK,,NO,,Maria Evans,(810) 565-3514,(810) 565-3514,0.08,,GEN,,Portland,OR,,maria.evans@realtyonegroup.com,,,"Experience: 6 years, Transactions: 49, Volume: $10,888,036",US,CREAM_RealEstate,2026-03-30
Better Homes & Gardens,REAL ESTATE,AH,,NO,,Laura Johnson,(779) 331-4089,(779) 331-4089,0.08,,GEN,,Detroit,MI,,johnson.laura@remax.net,,,"Experience: 4 years, Transactions: 7, Volume: $683,003",US,CREAM_RealEstate,2026-03-30
Compass,REAL ESTATE,AH,,NO,,Jacob Mendoza,(816) 306-2935,(816) 306-2935,0.08,,GEN,,Denver,CO,,jacob91@sothebysrealty.com,,,"Experience: 12 years, Transactions: 49, Volume: $6,553,924",US,CREAM_RealEstate,2026-03-30
NVR,REAL ESTATE,AH,,NO,,Aaron Garcia,(575) 750-1061,(575) 750-1061,0.08,,GEN,,Virginia Beach,VA,,agarcia@berkshirehathawayhs.com,,,"Experience: 12 years, Transactions: 39, Volume: $8,553,579",US,CREAM_RealEstate,2026-03-30
