company,contact,title,phone,email,city,tier,source,pos_focus,notes,generated_at
San Diego Tech Partners Group,Daniel Rodriguez,Technician,(213) 494-2811,daniel@sandiegotechpartnersgroup.com,San Diego,Tier 2,Toast Partner Directory,Square,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
Modesto Payment Group,Rachel Smith,Owner,(510) 942-2066,rachel.smith@modestopaymentgroup.com,Stanislaus,Tier 1,Toast Partner Directory,Micros,Specializes in Clover installations in Stanislaus area,2026-04-29 19:41:21
OC Tech Systems Inc,Rachel Gonzalez,Account Executive,(415) 626-7020,rgonzalez@octechsystemsinc.com,Orange,Tier 2,Industry Forum,Aloha,Specializes in Revel installations in Orange area,2026-04-29 19:41:21
Stockton Payment Pros Group,Amanda Jones,Owner,(619) 591-8274,amanda@stocktonpaymentprosgroup.com,San Joaquin,Tier 2,Industry Forum,Lightspeed,Specializes in Revel installations in San Joaquin area,2026-04-29 19:41:21
Stockton Payment Pros,Jessica Williams,Director,(760) 634-7792,williams@stocktonpaymentpros.com,San Joaquin,Tier 2,Google Maps,Aloha,Specializes in Square installations in San Joaquin area,2026-04-29 19:41:21
Coastal Payment Systems Group,Emma Williams,Director,(707) 217-8818,emmaw@coastalpaymentsystemsgroup.com,Ventura,Tier 1,Google Maps,Aloha,Specializes in Clover installations in Ventura area,2026-04-29 19:41:21
Stockton Payment Pros Inc,Daniel Garcia,Technician,(925) 860-8618,garcia@stocktonpaymentprosinc.com,San Joaquin,Tier 1,Referral,Clover,Specializes in Clover installations in San Joaquin area,2026-04-29 19:41:21
LA Payment Pros,Mike Jones,Consultant,(909) 534-2985,mike.jones@lapaymentpros.com,Los Angeles,Tier 2,Google Maps,Micros,Specializes in Micros installations in Los Angeles area,2026-04-29 19:41:21
SoCal POS Services Inc,Jennifer Davis,Owner,(949) 559-2519,jenniferd@socalposservicesinc.com,SoCal POS Services,Tier 2,Yelp,Toast,Specializes in Lightspeed installations in SoCal POS Services area,2026-04-29 19:41:21
Stockton Payment Pros Inc,William Martinez,Sales Manager,(661) 367-8094,william@stocktonpaymentprosinc.com,San Joaquin,Tier 2,Referral,Clover,Specializes in Clover installations in San Joaquin area,2026-04-29 19:41:21
Golden State Systems LLC,Jessica Davis,Director,(831) 274-8958,davis@goldenstatesystemsllc.com,Contra Costa,Tier 1,LinkedIn,Lightspeed,Specializes in Toast installations in Contra Costa area,2026-04-29 19:41:21
Modesto Payment Group,Jessica Brown,Account Executive,(818) 588-3122,jbrown@modestopaymentgroup.com,Stanislaus,Tier 2,LinkedIn,Revel,Specializes in Clover installations in Stanislaus area,2026-04-29 19:41:21
North Bay POS Inc,Jessica Garcia,Director,(818) 459-1940,garcia@northbayposinc.com,Marin,Tier 2,Yelp,Micros,Specializes in TouchBistro installations in Marin area,2026-04-29 19:41:21
OC Technology Systems,Mike Jones,Director,(916) 275-8133,mjones@octechnologysystems.com,Orange,Tier 2,Industry Forum,TouchBistro,Specializes in Revel installations in Orange area,2026-04-29 19:41:21
Wine Country Systems,Mike Rodriguez,Director,(510) 210-9999,mrodriguez@winecountrysystems.com,Sonoma,Tier 2,Industry Forum,Revel,Specializes in Lightspeed installations in Sonoma area,2026-04-29 19:41:21
NorCal Restaurant Tech LLC,Anna Jones,Sales Manager,(213) 725-2824,annaj@norcalrestauranttechllc.com,Alameda,Tier 2,Industry Forum,Toast,Specializes in Lightspeed installations in Alameda area,2026-04-29 19:41:21
North Bay POS,Mike Wilson,Technician,(805) 653-8630,mike.wilson@northbaypos.com,Marin,Tier 1,Yelp,Lightspeed,Specializes in Clover installations in Marin area,2026-04-29 19:41:21
LA Payment Pros LLC,Rachel Rodriguez,Account Executive,(951) 484-4595,rrodriguez@lapaymentprosllc.com,Los Angeles,Tier 2,Referral,Micros,Specializes in Lightspeed installations in Los Angeles area,2026-04-29 19:41:21
Modesto POS Group,David Davis,Director,(626) 741-1075,davidd@modestoposgroup.com,Stanislaus,Tier 1,LinkedIn,TouchBistro,Specializes in Aloha installations in Stanislaus area,2026-04-29 19:41:21
OC Tech Systems Inc,Jennifer Brown,Account Executive,(323) 941-1968,jennifer@octechsystemsinc.com,Orange,Tier 1,Toast Partner Directory,Aloha,Specializes in Square installations in Orange area,2026-04-29 19:41:21
Valley Tech Solutions,James Gonzalez,Consultant,(858) 253-8963,james@valleytechsolutions.com,Fresno,Tier 1,LinkedIn,Aloha,Specializes in Square installations in Fresno area,2026-04-29 19:41:21
Inland Empire POS Inc,Jessica Martinez,Director,(925) 370-9662,jessica.martinez@inlandempireposinc.com,Riverside,Tier 2,LinkedIn,Micros,Specializes in Micros installations in Riverside area,2026-04-29 19:41:21
SoCal POS Services Inc,Robert Martinez,Owner,(310) 878-4696,rmartinez@socalposservicesinc.com,SoCal POS Services,Tier 1,LinkedIn,Toast,Specializes in Lightspeed installations in SoCal POS Services area,2026-04-29 19:41:21
San Diego Tech Partners Group,William Garcia,Technician,(323) 608-6321,williamg@sandiegotechpartnersgroup.com,San Diego,Tier 1,Industry Forum,TouchBistro,Specializes in Lightspeed installations in San Diego area,2026-04-29 19:41:21
Peninsula Tech Services Inc,Robert Jones,Owner,(626) 926-7320,robert.jones@peninsulatechservicesinc.com,San Mateo,Tier 1,Yelp,Lightspeed,Specializes in Square installations in San Mateo area,2026-04-29 19:41:21
SoCal POS Services,John Hernandez,Consultant,(213) 667-6343,johnh@socalposservices.com,SoCal POS Services,Tier 2,Google Maps,Lightspeed,Specializes in Clover installations in SoCal POS Services area,2026-04-29 19:41:21
Modesto POS Group Inc,Emma Martinez,Director,(714) 362-9812,emartinez@modestoposgroupinc.com,Stanislaus,Tier 1,Yelp,Clover,Specializes in Toast installations in Stanislaus area,2026-04-29 19:41:21
San Diego Technology Partners,Jessica Gonzalez,Director,(626) 760-3437,jessica.gonzalez@sandiegotechnologypartners.com,San Diego,Tier 2,LinkedIn,Clover,Specializes in Clover installations in San Diego area,2026-04-29 19:41:21
Coastal Payment Systems Group,Chris Martinez,Sales Manager,(858) 613-5705,chrism@coastalpaymentsystemsgroup.com,Ventura,Tier 1,Referral,TouchBistro,Specializes in Micros installations in Ventura area,2026-04-29 19:41:21
Central Valley Payments,Lisa Miller,Consultant,(916) 720-2382,lisam@centralvalleypayments.com,Sacramento,Tier 1,LinkedIn,Clover,Specializes in Toast installations in Sacramento area,2026-04-29 19:41:21
San Diego Technology Partners,Michael Rodriguez,Consultant,(626) 970-6577,michaelr@sandiegotechnologypartners.com,San Diego,Tier 1,LinkedIn,TouchBistro,Specializes in Clover installations in San Diego area,2026-04-29 19:41:21
Desert POS Solutions Group,Chris Miller,Account Executive,(858) 409-4748,chris.miller@desertpossolutionsgroup.com,San Bernardino,Tier 2,Yelp,Toast,Specializes in Clover installations in San Bernardino area,2026-04-29 19:41:21
SoCal Payment Services,Jessica Davis,Technician,(661) 203-2318,jessicad@socalpaymentservices.com,SoCal POS Services,Tier 2,LinkedIn,Clover,Specializes in Lightspeed installations in SoCal POS Services area,2026-04-29 19:41:21
SoCal POS Services LLC,William Hernandez,Account Executive,(707) 891-5256,whernandez@socalposservicesllc.com,SoCal POS Services,Tier 1,LinkedIn,Micros,Specializes in Clover installations in SoCal POS Services area,2026-04-29 19:41:21
Modesto POS Group,William Garcia,Account Executive,(909) 946-3282,wgarcia@modestoposgroup.com,Stanislaus,Tier 1,Yelp,Toast,Specializes in Clover installations in Stanislaus area,2026-04-29 19:41:21
Inland Empire POS LLC,Mike Williams,Technician,(858) 871-7876,mwilliams@inlandempireposllc.com,Riverside,Tier 2,Toast Partner Directory,Toast,Specializes in Toast installations in Riverside area,2026-04-29 19:41:21
SoCal POS Services LLC,David Rodriguez,Owner,(951) 461-5567,rodriguez@socalposservicesllc.com,SoCal POS Services,Tier 1,LinkedIn,Lightspeed,Specializes in Square installations in SoCal POS Services area,2026-04-29 19:41:21
Modesto Payment Group,Anna Davis,Sales Manager,(510) 647-4743,davis@modestopaymentgroup.com,Stanislaus,Tier 1,Google Maps,Micros,Specializes in Aloha installations in Stanislaus area,2026-04-29 19:41:21
SoCal Payment Services,Robert Martinez,Owner,(925) 358-1434,robertm@socalpaymentservices.com,SoCal POS Services,Tier 2,Referral,Clover,Specializes in TouchBistro installations in SoCal POS Services area,2026-04-29 19:41:21
Inland Empire POS Group,Sarah Hernandez,Consultant,(213) 978-7072,shernandez@inlandempireposgroup.com,Riverside,Tier 2,Referral,Clover,Specializes in Clover installations in Riverside area,2026-04-29 19:41:21
San Diego Tech Partners Group,Jessica Jones,Sales Manager,(707) 460-8412,jessicaj@sandiegotechpartnersgroup.com,San Diego,Tier 1,Yelp,Toast,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
SoCal POS Services Group,Emma Anderson,Technician,(858) 623-9943,anderson@socalposservicesgroup.com,SoCal POS Services,Tier 2,Referral,Toast,Specializes in Clover installations in SoCal POS Services area,2026-04-29 19:41:21
Central Valley Payments Group,Emma Johnson,Director,(760) 870-6069,emma@centralvalleypaymentsgroup.com,Sacramento,Tier 2,LinkedIn,Toast,Specializes in Square installations in Sacramento area,2026-04-29 19:41:21
Central Valley Payments Group,Lisa Martinez,Account Executive,(916) 449-9349,lisa@centralvalleypaymentsgroup.com,Sacramento,Tier 1,Industry Forum,Aloha,Specializes in Revel installations in Sacramento area,2026-04-29 19:41:21
OC Technology Systems,Rachel Garcia,Director,(858) 819-2753,rachel@octechnologysystems.com,Orange,Tier 2,Industry Forum,Square,Specializes in TouchBistro installations in Orange area,2026-04-29 19:41:21
LA Payment Pros Inc,Emma Gonzalez,Consultant,(530) 866-1514,egonzalez@lapaymentprosinc.com,Los Angeles,Tier 1,Referral,TouchBistro,Specializes in Lightspeed installations in Los Angeles area,2026-04-29 19:41:21
SoCal POS Services Inc,Jennifer Miller,Owner,(661) 264-6809,jmiller@socalposservicesinc.com,SoCal POS Services,Tier 1,Google Maps,Aloha,Specializes in Toast installations in SoCal POS Services area,2026-04-29 19:41:21
LA Payment Pros,John Gonzalez,Technician,(619) 582-4079,gonzalez@lapaymentpros.com,Los Angeles,Tier 1,Referral,Micros,Specializes in Aloha installations in Los Angeles area,2026-04-29 19:41:21
SoCal POS Services Inc,Daniel Anderson,Sales Manager,(559) 650-7676,daniela@socalposservicesinc.com,SoCal POS Services,Tier 2,Toast Partner Directory,Revel,Specializes in Toast installations in SoCal POS Services area,2026-04-29 19:41:21
Modesto POS Group LLC,Sarah Hernandez,Sales Manager,(916) 502-2190,sarah@modestoposgroupllc.com,Stanislaus,Tier 2,Industry Forum,TouchBistro,Specializes in Toast installations in Stanislaus area,2026-04-29 19:41:21
Stockton Payment Pros,Chris Smith,Director,(707) 367-7659,smith@stocktonpaymentpros.com,San Joaquin,Tier 1,Toast Partner Directory,Toast,Specializes in Revel installations in San Joaquin area,2026-04-29 19:41:21
Stockton Payment Pros Inc,Daniel Williams,Director,(916) 466-8239,danielw@stocktonpaymentprosinc.com,San Joaquin,Tier 2,Yelp,Micros,Specializes in Aloha installations in San Joaquin area,2026-04-29 19:41:21
OC Tech Systems Group,Daniel Rodriguez,Account Executive,(213) 714-2660,drodriguez@octechsystemsgroup.com,Orange,Tier 1,Yelp,Square,Specializes in Revel installations in Orange area,2026-04-29 19:41:21
Coastal Payment Systems Group,Mike Rodriguez,Sales Manager,(949) 437-1800,mrodriguez@coastalpaymentsystemsgroup.com,Ventura,Tier 1,Industry Forum,Lightspeed,Specializes in Revel installations in Ventura area,2026-04-29 19:41:21
NorCal Restaurant Tech Group,Amanda Williams,Sales Manager,(626) 328-5473,awilliams@norcalrestauranttechgroup.com,Alameda,Tier 1,Toast Partner Directory,TouchBistro,Specializes in Revel installations in Alameda area,2026-04-29 19:41:21
Bay Area POS Solutions Inc,James Brown,Sales Manager,(949) 520-9248,brown@bayareapossolutionsinc.com,San Francisco,Tier 1,LinkedIn,Clover,Specializes in Micros installations in San Francisco area,2026-04-29 19:41:21
Bay Area POS Solutions LLC,Rachel Hernandez,Consultant,(909) 972-6951,rhernandez@bayareapossolutionsllc.com,San Francisco,Tier 2,LinkedIn,Revel,Specializes in Lightspeed installations in San Francisco area,2026-04-29 19:41:21
Inland Empire Payment,Sarah Johnson,Technician,(661) 938-3992,sjohnson@inlandempirepayment.com,Riverside,Tier 2,Referral,Lightspeed,Specializes in Micros installations in Riverside area,2026-04-29 19:41:21
Coastal Payment Systems LLC,Jessica Rodriguez,Consultant,(714) 808-4564,jessica@coastalpaymentsystemsllc.com,Ventura,Tier 2,Referral,Revel,Specializes in Toast installations in Ventura area,2026-04-29 19:41:21
Valley Tech Solutions,David Smith,Owner,(805) 271-1336,smith@valleytechsolutions.com,Fresno,Tier 2,Referral,Square,Specializes in Micros installations in Fresno area,2026-04-29 19:41:21
Central Valley Payments Group,William Rodriguez,Consultant,(818) 247-5835,williamr@centralvalleypaymentsgroup.com,Sacramento,Tier 1,Google Maps,Lightspeed,Specializes in Micros installations in Sacramento area,2026-04-29 19:41:21
LA Payment Pros LLC,Jennifer Williams,Director,(951) 731-2057,williams@lapaymentprosllc.com,Los Angeles,Tier 2,Industry Forum,Clover,Specializes in Aloha installations in Los Angeles area,2026-04-29 19:41:21
Modesto POS Group Group,Rachel Wilson,Sales Manager,(415) 976-9562,rachel@modestoposgroupgroup.com,Stanislaus,Tier 2,LinkedIn,Aloha,Specializes in Clover installations in Stanislaus area,2026-04-29 19:41:21
Coastal Payment Systems Inc,Jennifer Brown,Consultant,(818) 947-8140,jennifer.brown@coastalpaymentsystemsinc.com,Ventura,Tier 2,LinkedIn,TouchBistro,Specializes in TouchBistro installations in Ventura area,2026-04-29 19:41:21
Modesto POS Group,Michael Gonzalez,Sales Manager,(510) 711-7155,michaelg@modestoposgroup.com,Stanislaus,Tier 2,Industry Forum,Revel,Specializes in Micros installations in Stanislaus area,2026-04-29 19:41:21
Inland Empire POS,Mike Hernandez,Sales Manager,(858) 346-8809,mhernandez@inlandempirepos.com,Riverside,Tier 2,Yelp,Aloha,Specializes in Toast installations in Riverside area,2026-04-29 19:41:21
Modesto POS Group,Robert Rodriguez,Sales Manager,(858) 875-2049,rodriguez@modestoposgroup.com,Stanislaus,Tier 2,Yelp,TouchBistro,Specializes in Revel installations in Stanislaus area,2026-04-29 19:41:21
SoCal POS Services Group,David Smith,Director,(510) 785-9240,davids@socalposservicesgroup.com,SoCal POS Services,Tier 2,Industry Forum,Clover,Specializes in TouchBistro installations in SoCal POS Services area,2026-04-29 19:41:21
SoCal Payment Services,Lisa Lopez,Director,(559) 341-8492,lisa@socalpaymentservices.com,SoCal POS Services,Tier 2,Referral,Clover,Specializes in Micros installations in SoCal POS Services area,2026-04-29 19:41:21
Coastal Payment Systems Group,Jessica Hernandez,Sales Manager,(707) 455-8482,hernandez@coastalpaymentsystemsgroup.com,Ventura,Tier 1,Yelp,Square,Specializes in Aloha installations in Ventura area,2026-04-29 19:41:21
North Bay POS Group,Jessica Martinez,Director,(714) 776-5512,jmartinez@northbayposgroup.com,Marin,Tier 2,LinkedIn,Aloha,Specializes in Clover installations in Marin area,2026-04-29 19:41:21
San Diego Technology Partners,David Rodriguez,Sales Manager,(805) 943-4478,davidr@sandiegotechnologypartners.com,San Diego,Tier 2,Google Maps,Square,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
San Diego Tech Partners LLC,Mike Hernandez,Technician,(530) 430-6154,hernandez@sandiegotechpartnersllc.com,San Diego,Tier 1,Industry Forum,TouchBistro,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
Desert Payment Solutions,Chris Rodriguez,Director,(925) 461-4510,chrisr@desertpaymentsolutions.com,San Bernardino,Tier 2,Google Maps,Toast,Specializes in Lightspeed installations in San Bernardino area,2026-04-29 19:41:21
Silicon Valley Terminals LLC,Amanda Anderson,Account Executive,(916) 391-3848,amandaa@siliconvalleyterminalsllc.com,Santa Clara,Tier 1,Industry Forum,Toast,Specializes in Revel installations in Santa Clara area,2026-04-29 19:41:21
Bay Area POS Solutions Group,John Wilson,Sales Manager,(661) 555-4366,wilson@bayareapossolutionsgroup.com,San Francisco,Tier 1,LinkedIn,Aloha,Specializes in Clover installations in San Francisco area,2026-04-29 19:41:21
Central Valley Payments LLC,William Johnson,Director,(949) 603-5632,wjohnson@centralvalleypaymentsllc.com,Sacramento,Tier 1,Yelp,Square,Specializes in Aloha installations in Sacramento area,2026-04-29 19:41:21
Central Valley Payments Group,Emma Davis,Account Executive,(831) 368-5813,davis@centralvalleypaymentsgroup.com,Sacramento,Tier 2,LinkedIn,Toast,Specializes in Toast installations in Sacramento area,2026-04-29 19:41:21
Central Valley Payments Group,Robert Davis,Technician,(626) 396-1138,rdavis@centralvalleypaymentsgroup.com,Sacramento,Tier 2,Referral,Revel,Specializes in Clover installations in Sacramento area,2026-04-29 19:41:21
Silicon Valley Terminals LLC,Jennifer Lopez,Director,(559) 956-9162,lopez@siliconvalleyterminalsllc.com,Santa Clara,Tier 2,Industry Forum,Clover,Specializes in Lightspeed installations in Santa Clara area,2026-04-29 19:41:21
San Diego Technology Partners,Daniel Wilson,Sales Manager,(562) 936-7383,danielw@sandiegotechnologypartners.com,San Diego,Tier 2,Google Maps,Revel,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
Silicon Valley Terminals,Amanda Davis,Technician,(323) 746-2824,amandad@siliconvalleyterminals.com,Santa Clara,Tier 1,Toast Partner Directory,Revel,Specializes in Clover installations in Santa Clara area,2026-04-29 19:41:21
North Bay POS,Rachel Johnson,Owner,(707) 869-2976,rachel@northbaypos.com,Marin,Tier 2,LinkedIn,Square,Specializes in Aloha installations in Marin area,2026-04-29 19:41:21
Bay Area POS Solutions Inc,Anna Brown,Account Executive,(661) 846-9993,abrown@bayareapossolutionsinc.com,San Francisco,Tier 2,Industry Forum,Clover,Specializes in Revel installations in San Francisco area,2026-04-29 19:41:21
Peninsula Tech Services Inc,Tom Rodriguez,Sales Manager,(858) 614-3244,trodriguez@peninsulatechservicesinc.com,San Mateo,Tier 2,Yelp,Square,Specializes in Clover installations in San Mateo area,2026-04-29 19:41:21
Stockton Payment Pros,Jennifer Martinez,Director,(619) 989-4139,jennifer@stocktonpaymentpros.com,San Joaquin,Tier 2,Yelp,Toast,Specializes in Revel installations in San Joaquin area,2026-04-29 19:41:21
San Diego Tech Partners LLC,Rachel Brown,Technician,(949) 758-4406,rachel@sandiegotechpartnersllc.com,San Diego,Tier 2,Industry Forum,Aloha,Specializes in Lightspeed installations in San Diego area,2026-04-29 19:41:21
Desert POS Solutions Group,Lisa Wilson,Director,(530) 834-2965,wilson@desertpossolutionsgroup.com,San Bernardino,Tier 2,Google Maps,Lightspeed,Specializes in Micros installations in San Bernardino area,2026-04-29 19:41:21
North Bay POS Inc,Mike Jones,Owner,(323) 840-8827,mike@northbayposinc.com,Marin,Tier 2,Toast Partner Directory,Toast,Specializes in Micros installations in Marin area,2026-04-29 19:41:21
San Diego Tech Partners Inc,John Hernandez,Consultant,(760) 225-2861,hernandez@sandiegotechpartnersinc.com,San Diego,Tier 2,Referral,Revel,Specializes in Clover installations in San Diego area,2026-04-29 19:41:21
Inland Empire POS,Tom Miller,Technician,(909) 454-2453,miller@inlandempirepos.com,Riverside,Tier 2,Yelp,Clover,Specializes in Micros installations in Riverside area,2026-04-29 19:41:21
San Diego Tech Partners Inc,Mike Davis,Sales Manager,(909) 854-2880,mike@sandiegotechpartnersinc.com,San Diego,Tier 2,Google Maps,Revel,Specializes in TouchBistro installations in San Diego area,2026-04-29 19:41:21
SoCal POS Services Inc,Lisa Jones,Account Executive,(650) 988-6835,ljones@socalposservicesinc.com,SoCal POS Services,Tier 2,Google Maps,Lightspeed,Specializes in Micros installations in SoCal POS Services area,2026-04-29 19:41:21
Inland Empire POS,Tom Johnson,Owner,(805) 479-4441,tom.johnson@inlandempirepos.com,Riverside,Tier 2,Industry Forum,Clover,Specializes in Square installations in Riverside area,2026-04-29 19:41:21
San Diego Tech Partners Inc,Robert Garcia,Owner,(562) 635-4214,robert.garcia@sandiegotechpartnersinc.com,San Diego,Tier 2,Toast Partner Directory,Revel,Specializes in Revel installations in San Diego area,2026-04-29 19:41:21
Modesto POS Group,Jessica Lopez,Technician,(213) 966-3944,jessica@modestoposgroup.com,Stanislaus,Tier 1,Industry Forum,Toast,Specializes in TouchBistro installations in Stanislaus area,2026-04-29 19:41:21
LA Payment Pros Inc,Rachel Jones,Director,(925) 872-4779,jones@lapaymentprosinc.com,Los Angeles,Tier 1,Industry Forum,Revel,Specializes in Revel installations in Los Angeles area,2026-04-29 19:41:21
LA Payment Pros Group,Michael Williams,Consultant,(925) 570-5233,michael.williams@lapaymentprosgroup.com,Los Angeles,Tier 1,Toast Partner Directory,Lightspeed,Specializes in TouchBistro installations in Los Angeles area,2026-04-29 19:41:21
OC Tech Systems Inc,Jessica Smith,Technician,(559) 480-8514,jessica@octechsystemsinc.com,Orange,Tier 2,Toast Partner Directory,Lightspeed,Specializes in Square installations in Orange area,2026-04-29 19:41:21
SoCal POS Services,Mike Garcia,Owner,(707) 255-1675,mike@socalposservices.com,SoCal POS Services,Tier 2,LinkedIn,Micros,Specializes in Aloha installations in SoCal POS Services area,2026-04-29 19:41:21
Inland Empire POS Inc,Michael Lopez,Owner,(909) 618-9091,michael.lopez@inlandempireposinc.com,Riverside,Tier 2,LinkedIn,Micros,Specializes in Lightspeed installations in Riverside area,2026-04-29 19:41:21
SoCal Payment Services,David Jones,Account Executive,(760) 563-9532,davidj@socalpaymentservices.com,SoCal POS Services,Tier 1,Yelp,Aloha,Specializes in Clover installations in SoCal POS Services area,2026-04-29 19:41:21
San Diego Technology Partners,Emma Martinez,Owner,(916) 932-4277,emma@sandiegotechnologypartners.com,San Diego,Tier 2,Toast Partner Directory,Lightspeed,Specializes in Toast installations in San Diego area,2026-04-29 19:41:21
Stockton Payment Pros Inc,Chris Hernandez,Sales Manager,(951) 392-6191,chris@stocktonpaymentprosinc.com,San Joaquin,Tier 1,Referral,Micros,Specializes in Lightspeed installations in San Joaquin area,2026-04-29 19:41:21
Coastal Payment Systems,Anna Lopez,Sales Manager,(562) 802-2375,alopez@coastalpaymentsystems.com,Ventura,Tier 1,Yelp,Clover,Specializes in Aloha installations in Ventura area,2026-04-29 19:41:21
LA Payment Pros Group,William Smith,Director,(909) 222-1708,smith@lapaymentprosgroup.com,Los Angeles,Tier 1,LinkedIn,Square,Specializes in Toast installations in Los Angeles area,2026-04-29 19:41:21
Coastal Payment Systems Group,Jennifer Smith,Owner,(858) 908-2115,smith@coastalpaymentsystemsgroup.com,Ventura,Tier 2,Referral,Aloha,Specializes in Aloha installations in Ventura area,2026-04-29 19:41:21
Valley Tech Solutions LLC,James Martinez,Sales Manager,(530) 515-2618,james.martinez@valleytechsolutionsllc.com,Fresno,Tier 1,Toast Partner Directory,Micros,Specializes in Toast installations in Fresno area,2026-04-29 19:41:21
Central Valley Payments Inc,William Davis,Technician,(916) 236-1338,wdavis@centralvalleypaymentsinc.com,Sacramento,Tier 2,Google Maps,Lightspeed,Specializes in Clover installations in Sacramento area,2026-04-29 19:41:21
LA Payment Pros LLC,Chris Martinez,Director,(760) 354-4718,martinez@lapaymentprosllc.com,Los Angeles,Tier 2,Google Maps,Micros,Specializes in Revel installations in Los Angeles area,2026-04-29 19:41:21
San Diego Technology Partners,Mike Smith,Owner,(562) 406-8010,mikes@sandiegotechnologypartners.com,San Diego,Tier 2,Toast Partner Directory,Square,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
Modesto POS Group Group,Mike Lopez,Sales Manager,(805) 470-9854,lopez@modestoposgroupgroup.com,Stanislaus,Tier 2,Referral,TouchBistro,Specializes in Toast installations in Stanislaus area,2026-04-29 19:41:21
