id,company_name,contact_name,email,phone,address,city,county,state,zip,business_type,priority,source,tags,scraped_at,pos_system,estimated_volume,notes
TN-DAV-0014,Nashville Pub,Richard Lopez,nashvillep@nashvillepub.com,+1 (931) 413-9938,5915 Main St,Nashville,Davidson,TN,37474,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.448918,,Medium,"Population: 715,884"
TN-DAV-0015,Nashville Bar & Grill,Jessica Garcia,info@nashvillebarand.com,+1 (865) 778-4624,7095 Main St,Nashville,Davidson,TN,38016,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448930,,High,"Population: 715,884"
TN-DAV-0016,Nashville Bistro,Mary Smith,info@nashvillebistro.com,+1 (865) 166-9633,9307 Main St,Nashville,Davidson,TN,38420,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448939,,Medium,"Population: 715,884"
TN-DAV-0017,Nashville Grill,Susan Rodriguez,info@nashvillegrill.com,+1 (931) 467-3113,883 Main St,Nashville,Davidson,TN,37479,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448948,Clover,High,"Population: 715,884"
TN-DAV-0018,Nashville Coffee Co,Elizabeth Johnson,info@nashvillecoffee.com,+1 (629) 947-3794,8772 Main St,Nashville,Davidson,TN,37903,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.448957,,High,"Population: 715,884"
TN-DAV-0019,Nashville Eatery,Patricia Johnson,nashvillee@nashvilleeatery.com,+1 (629) 139-2010,6592 Main St,Nashville,Davidson,TN,37893,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448966,Square,High,"Population: 715,884"
TN-DAV-0020,Nashville Kitchen,James Garcia,nashvillek@outlook.com,+1 (423) 888-9258,1940 Main St,Nashville,Davidson,TN,37814,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448975,,Medium,"Population: 715,884"
TN-DAV-0021,Nashville Bistro,Barbara Johnson,info@nashvillebistro.com,+1 (629) 863-2573,2039 Main St,Nashville,Davidson,TN,38314,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.448983,Clover,Medium,"Population: 715,884"
TN-DAV-0022,Nashville Coffee Co,William Williams,info@nashvillecoffee.com,+1 (629) 398-9811,9718 Main St,Nashville,Davidson,TN,37735,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.448995,,Low,"Population: 715,884"
TN-DAV-0023,Nashville Bistro,Elizabeth Brown,info@nashvillebistro.com,+1 (931) 708-4901,7646 Main St,Nashville,Davidson,TN,37250,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449007,Toast,High,"Population: 715,884"
TN-DAV-0024,Nashville Bistro,James Martinez,nashvilleb@yahoo.com,+1 (615) 259-7282,7302 Main St,Nashville,Davidson,TN,37804,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449017,,Medium,"Population: 715,884"
TN-DAV-0025,Nashville Cafe,Jennifer Rodriguez,nashvillec@yahoo.com,+1 (731) 972-4674,877 Main St,Nashville,Davidson,TN,38168,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449026,,High,"Population: 715,884"
TN-DAV-0026,Nashville Eatery,Linda Williams,info@nashvilleeatery.com,+1 (423) 135-6405,1862 Main St,Nashville,Davidson,TN,37085,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449034,Square,Medium,"Population: 715,884"
TN-DAV-0027,Nashville Kitchen,Richard Gonzalez,nashvillek@nashvillekitche.com,+1 (423) 269-9200,6287 Main St,Nashville,Davidson,TN,37202,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449047,Square,High,"Population: 715,884"
TN-DAV-0028,Nashville Grill,Susan Hernandez,info@nashvillegrill.com,+1 (423) 459-1192,9912 Main St,Nashville,Davidson,TN,37484,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449056,,Medium,"Population: 715,884"
TN-DAV-0029,Nashville Pub,John Rodriguez,nashvillep@outlook.com,+1 (615) 665-4067,1400 Main St,Nashville,Davidson,TN,37636,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449065,,Low,"Population: 715,884"
TN-DAV-0030,Nashville Coffee Co,Jennifer Williams,info@nashvillecoffee.com,+1 (865) 327-8412,8330 Main St,Nashville,Davidson,TN,37031,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449074,,High,"Population: 715,884"
TN-DAV-0031,Nashville Coffee Co,Linda Miller,info@nashvillecoffee.com,+1 (615) 301-6294,2034 Main St,Nashville,Davidson,TN,37926,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449091,,Low,"Population: 715,884"
TN-DAV-0032,Nashville Bistro,Robert Brown,info@nashvillebistro.com,+1 (931) 226-8901,8206 Main St,Nashville,Davidson,TN,38354,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449105,,Low,"Population: 715,884"
TN-DAV-0033,Nashville Kitchen,Jennifer Gonzalez,info@nashvillekitche.com,+1 (901) 495-9057,3512 Main St,Nashville,Davidson,TN,38148,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449113,,Low,"Population: 715,884"
TN-DAV-0034,Nashville Pub,Elizabeth Smith,nashvillep@gmail.com,+1 (423) 944-9524,4266 Main St,Nashville,Davidson,TN,37060,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449122,,Low,"Population: 715,884"
TN-DAV-0035,Nashville Bar & Grill,Barbara Miller,info@nashvillebarand.com,+1 (901) 785-9631,981 Main St,Nashville,Davidson,TN,37603,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449130,Toast,High,"Population: 715,884"
TN-DAV-0036,Nashville Bistro,Jessica Martinez,info@nashvillebistro.com,+1 (731) 480-3126,1515 Main St,Nashville,Davidson,TN,38221,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449137,Clover,High,"Population: 715,884"
TN-DAV-0037,Nashville Pub,Richard Martinez,info@nashvillepub.com,+1 (615) 223-8286,6429 Main St,Nashville,Davidson,TN,37329,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449145,,High,"Population: 715,884"
TN-DAV-0038,Nashville Bar & Grill,Jessica Gonzalez,info@nashvillebarand.com,+1 (423) 149-3190,9234 Main St,Nashville,Davidson,TN,37680,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449153,,Low,"Population: 715,884"
TN-DAV-0039,Nashville Bistro,Elizabeth Brown,info@nashvillebistro.com,+1 (901) 908-9062,9931 Main St,Nashville,Davidson,TN,38388,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449160,,Low,"Population: 715,884"
TN-DAV-0040,Nashville Cafe,David Brown,nashvillec@gmail.com,+1 (615) 170-2041,9681 Main St,Nashville,Davidson,TN,37588,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449171,Clover,High,"Population: 715,884"
TN-DAV-0041,Nashville Kitchen,Patricia Johnson,info@nashvillekitche.com,+1 (931) 976-7756,8262 Main St,Nashville,Davidson,TN,37500,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449180,Aloha,Low,"Population: 715,884"
TN-DAV-0042,Nashville Eatery,Jessica Rodriguez,nashvillee@yahoo.com,+1 (629) 127-5861,3800 Main St,Nashville,Davidson,TN,37473,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449192,,Low,"Population: 715,884"
TN-DAV-0043,Nashville Bistro,Robert Lopez,info@nashvillebistro.com,+1 (629) 352-4739,1459 Main St,Nashville,Davidson,TN,37502,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449200,,Medium,"Population: 715,884"
TN-DAV-0044,Nashville Cafe,Richard Gonzalez,info@nashvillecafe.com,+1 (731) 875-7640,467 Main St,Nashville,Davidson,TN,37837,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449208,Clover,Medium,"Population: 715,884"
TN-DAV-0045,Nashville Pub,Richard Gonzalez,info@nashvillepub.com,+1 (615) 723-1182,1644 Main St,Nashville,Davidson,TN,38416,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449217,,High,"Population: 715,884"
TN-DAV-0046,Nashville Coffee Co,Michael Gonzalez,info@nashvillecoffee.com,+1 (931) 850-9876,3926 Main St,Nashville,Davidson,TN,38500,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449225,,High,"Population: 715,884"
TN-DAV-0047,Nashville Eatery,Jennifer Williams,info@nashvilleeatery.com,+1 (423) 962-7886,1450 Main St,Nashville,Davidson,TN,37476,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449233,,High,"Population: 715,884"
TN-DAV-0048,Nashville Kitchen,David Miller,info@nashvillekitche.com,+1 (931) 212-6229,1431 Main St,Nashville,Davidson,TN,37921,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449245,,Low,"Population: 715,884"
TN-DAV-0049,Nashville Bistro,Robert Wilson,nashvilleb@outlook.com,+1 (901) 911-8775,6532 Main St,Nashville,Davidson,TN,37860,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449258,,Medium,"Population: 715,884"
TN-DAV-0050,Nashville Grill,Susan Williams,info@nashvillegrill.com,+1 (731) 484-8395,956 Main St,Nashville,Davidson,TN,37094,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449267,,Low,"Population: 715,884"
TN-DAV-0051,Nashville Pub,Jennifer Wilson,nashvillep@outlook.com,+1 (629) 362-8507,1508 Main St,Nashville,Davidson,TN,37014,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449275,Square,Medium,"Population: 715,884"
TN-DAV-0052,Nashville Pub,Susan Rodriguez,nashvillep@nashvillepub.com,+1 (423) 812-8962,9537 Main St,Nashville,Davidson,TN,37209,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449288,,Low,"Population: 715,884"
TN-DAV-0053,Nashville Pub,Richard Williams,info@nashvillepub.com,+1 (865) 782-3894,6195 Main St,Nashville,Davidson,TN,38026,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449297,,High,"Population: 715,884"
TN-DAV-0054,Nashville Bar & Grill,Mary Lopez,info@nashvillebarand.com,+1 (931) 637-6791,9801 Main St,Nashville,Davidson,TN,37941,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449306,,High,"Population: 715,884"
TN-DAV-0055,Nashville Cafe,Michael Rodriguez,info@nashvillecafe.com,+1 (731) 853-6947,1942 Main St,Nashville,Davidson,TN,37970,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449314,,Low,"Population: 715,884"
TN-DAV-0056,Nashville Coffee Co,Robert Jones,info@nashvillecoffee.com,+1 (901) 411-9668,7936 Main St,Nashville,Davidson,TN,38168,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449326,,Low,"Population: 715,884"
TN-DAV-0057,Nashville Pub,John Gonzalez,info@nashvillepub.com,+1 (731) 779-4028,4838 Main St,Nashville,Davidson,TN,37778,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.449342,Square,High,"Population: 715,884"
TN-DAV-0058,Nashville Bar & Grill,David Martinez,info@nashvillebarand.com,+1 (615) 925-2470,6953 Main St,Nashville,Davidson,TN,37798,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449351,,High,"Population: 715,884"
TN-DAV-0059,Nashville Grill,William Brown,info@nashvillegrill.com,+1 (615) 473-6526,3061 Main St,Nashville,Davidson,TN,37770,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449360,,Low,"Population: 715,884"
TN-DAV-0060,Nashville Cafe,Richard Johnson,nashvillec@gmail.com,+1 (865) 904-3560,3997 Main St,Nashville,Davidson,TN,37412,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449369,Aloha,Low,"Population: 715,884"
TN-DAV-0061,Nashville Coffee Co,John Martinez,nashvillec@nashvillecoffee.com,+1 (615) 732-4935,9503 Main St,Nashville,Davidson,TN,37996,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.449378,Toast,Low,"Population: 715,884"
TN-DAV-0062,Nashville Kitchen,Michael Martinez,nashvillek@gmail.com,+1 (865) 606-4410,1785 Main St,Nashville,Davidson,TN,37031,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.449391,Toast,Medium,"Population: 715,884"
TN-DAV-0063,Nashville Bistro,Jessica Hernandez,nashvilleb@gmail.com,+1 (615) 602-1324,4991 Main St,Nashville,Davidson,TN,37456,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450502,,High,"Population: 715,884"
TN-DAV-0064,Nashville Pub,James Wilson,info@nashvillepub.com,+1 (901) 988-4839,295 Main St,Nashville,Davidson,TN,37171,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450523,Toast,Medium,"Population: 715,884"
TN-DAV-0065,Nashville Pub,Elizabeth Hernandez,info@nashvillepub.com,+1 (423) 364-9382,7296 Main St,Nashville,Davidson,TN,37043,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450542,,Low,"Population: 715,884"
TN-DAV-0066,Nashville Cafe,Jennifer Johnson,info@nashvillecafe.com,+1 (931) 367-2269,9140 Main St,Nashville,Davidson,TN,38277,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450553,Clover,High,"Population: 715,884"
TN-DAV-0067,Nashville Kitchen,David Miller,info@nashvillekitche.com,+1 (931) 607-8430,7274 Main St,Nashville,Davidson,TN,38308,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450565,,Medium,"Population: 715,884"
TN-DAV-0068,Nashville Pub,Linda Martinez,info@nashvillepub.com,+1 (423) 272-3849,4036 Main St,Nashville,Davidson,TN,38180,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450574,,Low,"Population: 715,884"
TN-DAV-0069,Nashville Grill,Patricia Davis,info@nashvillegrill.com,+1 (615) 709-1155,7106 Main St,Nashville,Davidson,TN,37779,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450583,Clover,Low,"Population: 715,884"
TN-DAV-0070,Nashville Grill,James Brown,info@nashvillegrill.com,+1 (629) 103-2607,6794 Main St,Nashville,Davidson,TN,37317,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450592,Clover,Medium,"Population: 715,884"
TN-DAV-0071,Nashville Eatery,Barbara Miller,info@nashvilleeatery.com,+1 (931) 241-2199,8520 Main St,Nashville,Davidson,TN,37213,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450602,Square,Medium,"Population: 715,884"
TN-DAV-0072,Nashville Grill,Barbara Garcia,info@nashvillegrill.com,+1 (865) 383-3850,5623 Main St,Nashville,Davidson,TN,38294,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450615,Clover,Low,"Population: 715,884"
TN-DAV-0073,Nashville Kitchen,John Hernandez,nashvillek@yahoo.com,+1 (731) 773-3441,1060 Main St,Nashville,Davidson,TN,37612,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450631,,High,"Population: 715,884"
TN-DAV-0074,Nashville Pub,Robert Johnson,info@nashvillepub.com,+1 (615) 437-7484,5494 Main St,Nashville,Davidson,TN,37468,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450640,,High,"Population: 715,884"
TN-DAV-0075,Nashville Pub,Elizabeth Hernandez,nashvillep@nashvillepub.com,+1 (615) 458-1201,5588 Main St,Nashville,Davidson,TN,38329,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450649,,High,"Population: 715,884"
TN-DAV-0076,Nashville Eatery,James Hernandez,info@nashvilleeatery.com,+1 (629) 642-8571,2862 Main St,Nashville,Davidson,TN,37902,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450658,,Medium,"Population: 715,884"
TN-DAV-0077,Nashville Cafe,Joseph Gonzalez,info@nashvillecafe.com,+1 (731) 977-7605,8588 Main St,Nashville,Davidson,TN,38463,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450667,Aloha,Medium,"Population: 715,884"
TN-DAV-0078,Nashville Coffee Co,Mary Smith,info@nashvillecoffee.com,+1 (931) 695-2372,9217 Main St,Nashville,Davidson,TN,37857,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450676,,Medium,"Population: 715,884"
TN-DAV-0079,Nashville Bistro,Joseph Anderson,info@nashvillebistro.com,+1 (629) 119-1781,1301 Main St,Nashville,Davidson,TN,37332,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450685,,High,"Population: 715,884"
TN-DAV-0080,Nashville Grill,Joseph Lopez,info@nashvillegrill.com,+1 (629) 841-6019,8543 Main St,Nashville,Davidson,TN,37860,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450693,Clover,Medium,"Population: 715,884"
TN-DAV-0081,Nashville Kitchen,Linda Wilson,info@nashvillekitche.com,+1 (931) 948-4252,3905 Main St,Nashville,Davidson,TN,38005,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450706,,Medium,"Population: 715,884"
TN-DAV-0082,Nashville Coffee Co,Elizabeth Anderson,nashvillec@gmail.com,+1 (931) 249-3745,6443 Main St,Nashville,Davidson,TN,37222,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450720,Aloha,Medium,"Population: 715,884"
TN-DAV-0083,Nashville Cafe,Joseph Rodriguez,info@nashvillecafe.com,+1 (629) 677-4507,6541 Main St,Nashville,Davidson,TN,37149,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450730,,Medium,"Population: 715,884"
TN-DAV-0084,Nashville Bistro,Patricia Miller,info@nashvillebistro.com,+1 (423) 508-5589,6429 Main St,Nashville,Davidson,TN,38118,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450739,,Low,"Population: 715,884"
TN-DAV-0085,Nashville Coffee Co,John Williams,info@nashvillecoffee.com,+1 (615) 631-2675,9003 Main St,Nashville,Davidson,TN,37146,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.450782,Square,Low,"Population: 715,884"
TN-DAV-0086,Nashville Pub,Mary Jones,nashvillep@outlook.com,+1 (423) 919-8570,8192 Main St,Nashville,Davidson,TN,37833,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450792,,High,"Population: 715,884"
TN-DAV-0087,Nashville Pub,Elizabeth Gonzalez,nashvillep@gmail.com,+1 (731) 518-2654,4428 Main St,Nashville,Davidson,TN,37571,Bar,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Bar",2026-04-29T20:55:45.450801,,High,"Population: 715,884"
TN-DAV-0088,Nashville Bar & Grill,James Anderson,info@nashvillebarand.com,+1 (901) 758-3834,8509 Main St,Nashville,Davidson,TN,38291,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.450811,,High,"Population: 715,884"
TN-DAV-0089,Nashville Eatery,Richard Johnson,info@nashvilleeatery.com,+1 (731) 960-6434,4649 Main St,Nashville,Davidson,TN,38004,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.451239,,Low,"Population: 715,884"
TN-DAV-0090,Nashville Kitchen,Linda Gonzalez,info@nashvillekitche.com,+1 (901) 418-2222,1227 Main St,Nashville,Davidson,TN,37592,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.451262,Aloha,Medium,"Population: 715,884"
TN-DAV-0091,Nashville Bistro,Jennifer Williams,info@nashvillebistro.com,+1 (865) 225-7381,4900 Main St,Nashville,Davidson,TN,37654,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.451273,,High,"Population: 715,884"
TN-DAV-0092,Nashville Cafe,Mary Brown,nashvillec@gmail.com,+1 (629) 950-1045,3177 Main St,Nashville,Davidson,TN,37849,Cafe,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Cafe",2026-04-29T20:55:45.451290,,High,"Population: 715,884"
TN-DAV-0093,Nashville Bar & Grill,John Rodriguez,info@nashvillebarand.com,+1 (931) 553-5762,2097 Main St,Nashville,Davidson,TN,37368,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.451300,Aloha,Medium,"Population: 715,884"
TN-DAV-0094,Nashville Kitchen,Joseph Miller,info@nashvillekitche.com,+1 (865) 168-3104,1187 Main St,Nashville,Davidson,TN,38446,Restaurant,A,TN_Restaurant_Scraper,"Restaurant,Davidson,Restaurant",2026-04-29T20:55:45.451313,,Medium,"Population: 715,884"
