First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source
Richard,Johnson,richard.johnson@example.com,+1 (946) 637-7101,Johnson Education,San Diego,San Diego County,CA,US,C,Yes,"County_Lead, Education","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (298) 310-1105,Martinez Manufacturing,Oceanside,San Diego County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Patricia,Martinez,patricia.martinez@example.com,+1 (766) 676-1750,Martinez Technology,Oceanside,San Diego County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Thomas,Smith,thomas.smith@example.com,+1 (586) 308-5885,Smith Finance,Oceanside,San Diego County,CA,US,C,Yes,"County_Lead, Finance","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Barbara,Garcia,barbara.garcia@example.com,+1 (659) 190-8239,Garcia Healthcare,Oceanside,San Diego County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Robert,Smith,robert.smith@example.com,+1 (335) 755-7429,Smith Professional Services,Escondido,San Diego County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 3,298,634, Seat: San Diego",County_Aware_Scraper
Jessica,Davis,jessica.davis@example.com,+1 (726) 385-7672,Davis Healthcare,Irvine,Orange County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
William,Jones,william.jones@example.com,+1 (506) 159-2814,Jones Construction,Santa Ana,Orange County,CA,US,C,Yes,"County_Lead, Construction","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (581) 876-6140,Rodriguez Technology,Huntington Beach,Orange County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (662) 435-8220,Garcia Retail,Irvine,Orange County,CA,US,C,Yes,"County_Lead, Retail","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
David,Rodriguez,david.rodriguez@example.com,+1 (925) 106-7881,Rodriguez Technology,Santa Ana,Orange County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Susan,Williams,susan.williams@example.com,+1 (892) 130-4330,Williams Real Estate,Irvine,Orange County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Patricia,Garcia,patricia.garcia@example.com,+1 (838) 172-3178,Garcia Healthcare,Huntington Beach,Orange County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Patricia,Jones,patricia.jones@example.com,+1 (370) 495-6727,Jones Manufacturing,Anaheim,Orange County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Charles,Miller,charles.miller@example.com,+1 (612) 511-7627,Miller Hospitality,Santa Ana,Orange County,CA,US,C,Yes,"County_Lead, Hospitality","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Mary,Smith,mary.smith@example.com,+1 (334) 442-9173,Smith Technology,Irvine,Orange County,CA,US,C,Yes,"County_Lead, Technology","Pop: 3,175,692, Seat: Santa Ana",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (999) 525-6033,Brown Construction,San Bernardino,Riverside County,CA,US,C,Yes,"County_Lead, Construction","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Susan,Martinez,susan.martinez@example.com,+1 (671) 947-9058,Martinez Real Estate,Moreno Valley,Riverside County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (712) 794-4066,Garcia Real Estate,Moreno Valley,Riverside County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Karen,Davis,karen.davis@example.com,+1 (816) 781-8923,Davis Healthcare,Riverside,Riverside County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Richard,Miller,richard.miller@example.com,+1 (586) 776-5382,Miller Education,San Bernardino,Riverside County,CA,US,C,Yes,"County_Lead, Education","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Michael,Rodriguez,michael.rodriguez@example.com,+1 (856) 756-1670,Rodriguez Healthcare,Riverside,Riverside County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (578) 448-4978,Rodriguez Construction,Riverside,Riverside County,CA,US,C,Yes,"County_Lead, Construction","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
David,Davis,david.davis@example.com,+1 (240) 212-3502,Davis Education,San Bernardino,Riverside County,CA,US,C,Yes,"County_Lead, Education","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Susan,Rodriguez,susan.rodriguez@example.com,+1 (369) 682-9802,Rodriguez Professional Services,Moreno Valley,Riverside County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
Michael,Johnson,michael.johnson@example.com,+1 (460) 476-7309,Johnson Manufacturing,Riverside,Riverside County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 2,470,546, Seat: Riverside",County_Aware_Scraper
William,Williams,william.williams@example.com,+1 (891) 284-7946,Williams Technology,Fontana,San Bernardino County,CA,US,C,Yes,"County_Lead, Technology","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Karen,Johnson,karen.johnson@example.com,+1 (237) 995-6753,Johnson Education,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Education","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
James,Rodriguez,james.rodriguez@example.com,+1 (531) 137-2548,Rodriguez Finance,Ontario,San Bernardino County,CA,US,C,Yes,"County_Lead, Finance","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Richard,Williams,richard.williams@example.com,+1 (703) 555-5234,Williams Real Estate,Fontana,San Bernardino County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (391) 625-7058,Martinez Professional Services,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Barbara,Davis,barbara.davis@example.com,+1 (648) 696-2132,Davis Construction,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Construction","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Robert,Garcia,robert.garcia@example.com,+1 (949) 834-1013,Garcia Technology,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Technology","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Jennifer,Rodriguez,jennifer.rodriguez@example.com,+1 (294) 597-6359,Rodriguez Retail,Ontario,San Bernardino County,CA,US,C,Yes,"County_Lead, Retail","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Michael,Smith,michael.smith@example.com,+1 (759) 969-1932,Smith Professional Services,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (637) 724-8291,Williams Retail,San Bernardino,San Bernardino County,CA,US,C,Yes,"County_Lead, Retail","Pop: 2,181,654, Seat: San Bernardino",County_Aware_Scraper
James,Jones,james.jones@example.com,+1 (521) 809-5452,Jones Healthcare,San Jose,Santa Clara County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (947) 590-2090,Brown Healthcare,San Jose,Santa Clara County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Thomas,Brown,thomas.brown@example.com,+1 (455) 767-2457,Brown Education,Mountain View,Santa Clara County,CA,US,C,Yes,"County_Lead, Education","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
William,Garcia,william.garcia@example.com,+1 (236) 186-8279,Garcia Finance,San Jose,Santa Clara County,CA,US,C,Yes,"County_Lead, Finance","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Sarah,Rodriguez,sarah.rodriguez@example.com,+1 (869) 352-8772,Rodriguez Real Estate,Sunnyvale,Santa Clara County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (393) 944-9726,Smith Manufacturing,Santa Clara,Santa Clara County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Linda,Davis,linda.davis@example.com,+1 (867) 529-2993,Davis Retail,Sunnyvale,Santa Clara County,CA,US,C,Yes,"County_Lead, Retail","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Barbara,Williams,barbara.williams@example.com,+1 (630) 252-3144,Williams Hospitality,Santa Clara,Santa Clara County,CA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Joseph,Jones,joseph.jones@example.com,+1 (293) 360-7198,Jones Education,San Jose,Santa Clara County,CA,US,C,Yes,"County_Lead, Education","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Linda,Williams,linda.williams@example.com,+1 (712) 107-7085,Williams Technology,Sunnyvale,Santa Clara County,CA,US,C,Yes,"County_Lead, Technology","Pop: 1,928,000, Seat: San Jose",County_Aware_Scraper
Jennifer,Johnson,jennifer.johnson@example.com,+1 (469) 381-4988,Johnson Hospitality,Berkeley,Alameda County,CA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (366) 854-9478,Smith Technology,Hayward,Alameda County,CA,US,C,Yes,"County_Lead, Technology","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Linda,Garcia,linda.garcia@example.com,+1 (244) 470-9405,Garcia Real Estate,Oakland,Alameda County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
David,Williams,david.williams@example.com,+1 (505) 288-2435,Williams Hospitality,Hayward,Alameda County,CA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Robert,Williams,robert.williams@example.com,+1 (289) 270-1924,Williams Healthcare,Fremont,Alameda County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Patricia,Williams,patricia.williams@example.com,+1 (392) 397-2881,Williams Healthcare,Fremont,Alameda County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Barbara,Johnson,barbara.johnson@example.com,+1 (832) 124-1095,Johnson Hospitality,Oakland,Alameda County,CA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (573) 233-9291,Davis Retail,Berkeley,Alameda County,CA,US,C,Yes,"County_Lead, Retail","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
John,Miller,john.miller@example.com,+1 (838) 391-3830,Miller Finance,Oakland,Alameda County,CA,US,C,Yes,"County_Lead, Finance","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
Elizabeth,Garcia,elizabeth.garcia@example.com,+1 (222) 989-6124,Garcia Professional Services,Fremont,Alameda County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,684,000, Seat: Oakland",County_Aware_Scraper
William,Davis,william.davis@example.com,+1 (311) 380-3971,Davis Real Estate,Sacramento,Sacramento County,CA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Jessica,Garcia,jessica.garcia@example.com,+1 (515) 827-2626,Garcia Healthcare,Sacramento,Sacramento County,CA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Richard,Garcia,richard.garcia@example.com,+1 (994) 989-9888,Garcia Retail,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Retail","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Thomas,Miller,thomas.miller@example.com,+1 (753) 375-6181,Miller Retail,Sacramento,Sacramento County,CA,US,C,Yes,"County_Lead, Retail","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Susan,Brown,susan.brown@example.com,+1 (646) 825-2022,Brown Construction,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Construction","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Michael,Martinez,michael.martinez@example.com,+1 (241) 987-5623,Martinez Manufacturing,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (772) 631-2165,Davis Construction,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Construction","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Elizabeth,Jones,elizabeth.jones@example.com,+1 (913) 751-3711,Jones Education,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Education","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Linda,Martinez,linda.martinez@example.com,+1 (332) 741-1300,Martinez Professional Services,Roseville,Sacramento County,CA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
Michael,Johnson,michael.johnson@example.com,+1 (226) 825-3403,Johnson Technology,Elk Grove,Sacramento County,CA,US,C,Yes,"County_Lead, Technology","Pop: 1,584,000, Seat: Sacramento",County_Aware_Scraper
William,Davis,william.davis@example.com,+1 (620) 981-9492,Davis Retail,Pasadena,Harris County,TX,US,C,Yes,"County_Lead, Retail","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Jessica,Johnson,jessica.johnson@example.com,+1 (395) 263-1190,Johnson Finance,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Thomas,Davis,thomas.davis@example.com,+1 (418) 434-1205,Davis Healthcare,Houston,Harris County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Sarah,Brown,sarah.brown@example.com,+1 (309) 255-5565,Brown Technology,Houston,Harris County,TX,US,C,Yes,"County_Lead, Technology","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Jones,robert.jones@example.com,+1 (978) 155-5610,Jones Manufacturing,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Manufacturing","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
James,Brown,james.brown@example.com,+1 (775) 827-2736,Brown Healthcare,Humble,Harris County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
John,Johnson,john.johnson@example.com,+1 (929) 703-8526,Johnson Finance,Pasadena,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Davis,robert.davis@example.com,+1 (770) 595-4929,Davis Finance,Humble,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Robert,Johnson,robert.johnson@example.com,+1 (685) 225-4196,Johnson Real Estate,Humble,Harris County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (404) 824-8566,Smith Hospitality,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Hospitality","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper
Karen,Rodriguez,karen.rodriguez@example.com,+1 (316) 233-6882,Rodriguez Technology,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Technology","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Thomas,Johnson,thomas.johnson@example.com,+1 (812) 172-6815,Johnson Retail,Irving,Dallas County,TX,US,C,Yes,"County_Lead, Retail","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Charles,Smith,charles.smith@example.com,+1 (246) 125-7943,Smith Retail,Dallas,Dallas County,TX,US,C,Yes,"County_Lead, Retail","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Mary,Jones,mary.jones@example.com,+1 (451) 516-4721,Jones Finance,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Finance","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Susan,Jones,susan.jones@example.com,+1 (816) 895-2529,Jones Healthcare,Dallas,Dallas County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Linda,Rodriguez,linda.rodriguez@example.com,+1 (858) 899-3719,Rodriguez Education,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Education","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Thomas,Martinez,thomas.martinez@example.com,+1 (521) 261-6920,Martinez Technology,Dallas,Dallas County,TX,US,C,Yes,"County_Lead, Technology","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (947) 205-2149,Smith Construction,Dallas,Dallas County,TX,US,C,Yes,"County_Lead, Construction","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Linda,Martinez,linda.martinez@example.com,+1 (944) 391-7221,Martinez Education,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Education","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Karen,Miller,karen.miller@example.com,+1 (967) 388-5174,Miller Professional Services,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper
Sarah,Smith,sarah.smith@example.com,+1 (888) 688-7020,Smith Real Estate,Keller,Tarrant County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Robert,Rodriguez,robert.rodriguez@example.com,+1 (582) 351-8078,Rodriguez Technology,Grapevine,Tarrant County,TX,US,C,Yes,"County_Lead, Technology","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Elizabeth,Johnson,elizabeth.johnson@example.com,+1 (519) 613-9759,Johnson Professional Services,Grapevine,Tarrant County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Rodriguez,thomas.rodriguez@example.com,+1 (430) 747-6698,Rodriguez Retail,Grapevine,Tarrant County,TX,US,C,Yes,"County_Lead, Retail","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Martinez,thomas.martinez@example.com,+1 (311) 658-3098,Martinez Healthcare,Grapevine,Tarrant County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Michael,Davis,michael.davis@example.com,+1 (554) 447-8111,Davis Real Estate,Grapevine,Tarrant County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Thomas,Rodriguez,thomas.rodriguez@example.com,+1 (210) 273-5390,Rodriguez Hospitality,Arlington,Tarrant County,TX,US,C,Yes,"County_Lead, Hospitality","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Patricia,Williams,patricia.williams@example.com,+1 (208) 894-5432,Williams Manufacturing,Keller,Tarrant County,TX,US,C,Yes,"County_Lead, Manufacturing","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Patricia,Davis,patricia.davis@example.com,+1 (688) 924-2451,Davis Professional Services,Keller,Tarrant County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
John,Garcia,john.garcia@example.com,+1 (774) 687-5037,Garcia Education,Fort Worth,Tarrant County,TX,US,C,Yes,"County_Lead, Education","Pop: 2,109,000, Seat: Fort Worth",County_Aware_Scraper
Karen,Smith,karen.smith@example.com,+1 (489) 275-3349,Smith Hospitality,New Braunfels,Bexar County,TX,US,C,Yes,"County_Lead, Hospitality","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Michael,Garcia,michael.garcia@example.com,+1 (246) 109-2105,Garcia Healthcare,San Antonio,Bexar County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Patricia,Johnson,patricia.johnson@example.com,+1 (304) 249-4667,Johnson Education,Universal City,Bexar County,TX,US,C,Yes,"County_Lead, Education","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
David,Brown,david.brown@example.com,+1 (619) 243-7918,Brown Healthcare,New Braunfels,Bexar County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Jennifer,Williams,jennifer.williams@example.com,+1 (507) 231-8031,Williams Education,San Antonio,Bexar County,TX,US,C,Yes,"County_Lead, Education","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Linda,Garcia,linda.garcia@example.com,+1 (511) 309-1684,Garcia Construction,New Braunfels,Bexar County,TX,US,C,Yes,"County_Lead, Construction","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
John,Garcia,john.garcia@example.com,+1 (268) 991-1576,Garcia Technology,San Antonio,Bexar County,TX,US,C,Yes,"County_Lead, Technology","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
David,Smith,david.smith@example.com,+1 (798) 191-6717,Smith Finance,Universal City,Bexar County,TX,US,C,Yes,"County_Lead, Finance","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Karen,Brown,karen.brown@example.com,+1 (778) 803-1367,Brown Manufacturing,New Braunfels,Bexar County,TX,US,C,Yes,"County_Lead, Manufacturing","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
James,Garcia,james.garcia@example.com,+1 (542) 153-5142,Garcia Retail,San Antonio,Bexar County,TX,US,C,Yes,"County_Lead, Retail","Pop: 2,006,000, Seat: San Antonio",County_Aware_Scraper
Elizabeth,Brown,elizabeth.brown@example.com,+1 (369) 545-5487,Brown Real Estate,Cedar Park,Travis County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Mary,Johnson,mary.johnson@example.com,+1 (570) 675-2625,Johnson Construction,Cedar Park,Travis County,TX,US,C,Yes,"County_Lead, Construction","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Sarah,Davis,sarah.davis@example.com,+1 (361) 535-5692,Davis Construction,Austin,Travis County,TX,US,C,Yes,"County_Lead, Construction","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Elizabeth,Garcia,elizabeth.garcia@example.com,+1 (689) 116-3802,Garcia Finance,Pflugerville,Travis County,TX,US,C,Yes,"County_Lead, Finance","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Joseph,Martinez,joseph.martinez@example.com,+1 (554) 546-3850,Martinez Hospitality,Round Rock,Travis County,TX,US,C,Yes,"County_Lead, Hospitality","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Mary,Martinez,mary.martinez@example.com,+1 (649) 184-3409,Martinez Professional Services,Round Rock,Travis County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Jessica,Smith,jessica.smith@example.com,+1 (896) 358-1026,Smith Professional Services,Cedar Park,Travis County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Karen,Williams,karen.williams@example.com,+1 (559) 887-2671,Williams Professional Services,Cedar Park,Travis County,TX,US,C,Yes,"County_Lead, Professional Services","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
Joseph,Jones,joseph.jones@example.com,+1 (243) 779-5899,Jones Real Estate,Pflugerville,Travis County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 1,291,000, Seat: Austin",County_Aware_Scraper
