full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Ruth Wilson,Ruth,Wilson,ruthwilson38@sothebysrealty.com,(614) 863-7608,eXp Realty,Chicago,IL,Chicago,IL897490,IL,6,8,2400000,79,A,A,3.8,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Jeffrey Torres,Jeffrey,Torres,torres.j@aol.com,(813) 254-7356,Realty ONE Group,Miami,FL,Miami,FL198543,FL,4,20,8000000,71,A,A,3.4,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Deborah Gomez,Deborah,Gomez,deborah.gomez@homesmart.com,(615) 477-5261,Weichert Realtors,Philadelphia,PA,Philadelphia,PA325720,PA,7,35,10150000,100,A,A,4.5,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Steven Nelson,Steven,Nelson,nelson.s@sothebysrealty.com,(850) 626-9241,Redfin,Asheville,NC,Asheville,NC868665,NC,7,6,1860000,82,C,C,3.2,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Sandra Peterson,Sandra,Peterson,petersonsandra@yahoo.com,(912) 966-1934,Realty ONE Group,Winston-Salem,NC,Winston-Salem,NC221753,NC,3,10,3100000,78,C,C,4.9,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Jack Richardson,Jack,Richardson,jack.richardson@outlook.com,(208) 274-2440,Compass,Tampa,FL,Tampa,FL428138,FL,1,22,8800000,77,B,B,3.8,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
John Wood,John,Wood,john.wood@century21.com,(208) 825-6621,eXp Realty,Buffalo,NY,Buffalo,NY178263,NY,3,15,12750000,83,B,B,3.4,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Helen Kelly,Helen,Kelly,helen.kelly@compass.com,(503) 761-6046,JLL,Jackson,MS,Jackson,MS456466,MS,5,10,1800000,62,C,C,3.8,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Angela Long,Angela,Long,longangela@compass.com,(515) 614-5010,Corcoran Global Living,Austin,TX,Austin,TX273060,TX,10,20,7000000,79,A,A,4.5,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Maria Flores,Maria,Flores,floresmaria@century21.com,(415) 552-8806,Keller Williams,Boise,ID,Boise,ID997870,ID,6,3,1425000,82,C,C,4.8,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Stephanie Carter,Stephanie,Carter,scarter@homesmart.com,(505) 386-9137,Local Brokerage,Raleigh,NC,Raleigh,NC345064,NC,10,12,3720000,71,B,B,4.4,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Karen Morgan,Karen,Morgan,karen_morgan@remax.com,(617) 451-5702,Sotheby's International Realty,Milwaukee,WI,Milwaukee,WI890954,WI,2,35,9625000,79,B,B,3.2,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Catherine Mendoza,Catherine,Mendoza,catherine.mendoza@homesmart.com,(615) 858-2686,Coldwell Banker,Montgomery,AL,Montgomery,AL787181,AL,5,3,660000,63,C,C,3.2,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Jeffrey Jones,Jeffrey,Jones,jonesjeffrey@coldwellbanker.com,(314) 768-1784,Cushman & Wakefield,Phoenix,AZ,Phoenix,AZ213012,AZ,6,35,15750000,99,A,A,3.4,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Amy Kelly,Amy,Kelly,akelly@remax.com,(617) 962-5415,Cushman & Wakefield,Portland,OR,Portland,OR767143,OR,10,35,17500000,92,A,A,4.7,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Justin Taylor,Justin,Taylor,justintaylor30@weichert.com,(208) 805-8594,United Real Estate,Dallas,TX,Dallas,TX197940,TX,5,40,14000000,88,A,A,4.5,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Michael Davis,Michael,Davis,mdavis@yahoo.com,(541) 277-5700,United Real Estate,Seattle,WA,Seattle,WA265286,WA,6,30,18000000,81,A,A,3.5,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Thomas Brown,Thomas,Brown,thomasbrown22@hotmail.com,(314) 750-7225,JLL,New York,NY,New York,NY644539,NY,6,12,10200000,83,A,A,3.5,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Lisa Stewart,Lisa,Stewart,stewartlisa@compass.com,(336) 921-2880,Independent Agent,Miami,FL,Miami,FL401513,FL,15,25,10000000,99,A,A,3.7,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Gary Roberts,Gary,Roberts,garyroberts83@realtor.com,(305) 970-3359,Better Homes and Gardens Real Estate,Detroit,MI,Detroit,MI607513,MI,5,4,1100000,62,B,B,4.0,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Mary Chavez,Mary,Chavez,chavez.m@yahoo.com,(608) 544-5434,Compass,Austin,TX,Austin,TX753084,TX,3,25,8750000,82,A,A,3.8,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Daniel Kim,Daniel,Kim,daniel.kim@homesmart.com,(260) 434-2151,Sotheby's International Realty,Washington,DC,Washington,DC353729,DC,2,30,21000000,73,A,A,4.9,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Christopher Richardson,Christopher,Richardson,christopherrichardson@weichert.com,(505) 610-2879,HomeSmart,Houston,TX,Houston,TX618803,TX,2,20,7000000,71,A,A,4.7,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Larry King,Larry,King,larry_king@hotmail.com,(215) 701-9584,HomeSmart,Indianapolis,IN,Indianapolis,IN443820,IN,4,18,4320000,72,B,B,4.4,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Jacob Mitchell,Jacob,Mitchell,jacobmitchell53@kw.com,(316) 221-2619,CBRE,Wichita,KS,Wichita,KS943558,KS,4,8,1600000,69,C,C,4.2,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Angela Reyes,Angela,Reyes,reyes.a@remax.com,(423) 389-9093,CBRE,Los Angeles,CA,Los Angeles,CA492066,CA,7,50,37500000,96,A,A,3.2,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
George Reyes,George,Reyes,georgereyes@coldwellbanker.com,(970) 329-1350,HomeSmart,Raleigh,NC,Raleigh,NC853509,NC,5,4,1240000,79,B,B,4.6,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Karen Thomas,Karen,Thomas,karen_thomas@weichert.com,(801) 344-6301,United Real Estate,Salt Lake City,UT,Salt Lake City,UT255715,UT,7,8,4000000,65,B,B,3.6,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
William Sanchez,William,Sanchez,sanchezwilliam@sothebysrealty.com,(850) 458-4231,Independent Agent,San Diego,CA,San Diego,CA529251,CA,10,60,45000000,100,A,A,4.1,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Debra Sanders,Debra,Sanders,dsanders@realtor.com,(865) 321-8815,Century 21,Boston,MA,Boston,MA352111,MA,3,35,22750000,88,A,A,3.4,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Edward Turner,Edward,Turner,eturner@kw.com,(402) 271-5967,CBRE,Miami,FL,Miami,FL363079,FL,5,12,4800000,77,A,A,3.7,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Ryan Carter,Ryan,Carter,carterryan@remax.com,(318) 866-9585,Local Brokerage,San Francisco,CA,San Francisco,CA186124,CA,6,8,6000000,87,A,A,4.7,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Alexander Richardson,Alexander,Richardson,alexanderrichardson9@kw.com,(901) 675-7379,ERA Real Estate,San Jose,CA,San Jose,CA180816,CA,10,16,12000000,74,A,A,3.4,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Steven Cruz,Steven,Cruz,cruzsteven@homesmart.com,(615) 434-5106,JPMorgan Real Estate,San Diego,CA,San Diego,CA522566,CA,5,40,30000000,73,A,A,3.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Joseph Thomas,Joseph,Thomas,josephthomas@realtor.com,(505) 279-4406,Sotheby's International Realty,Greenville,SC,Greenville,SC741259,SC,6,8,2320000,89,C,C,4.9,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Brandon Harris,Brandon,Harris,brandonharris@gmail.com,(515) 826-7457,JPMorgan Real Estate,Atlanta,GA,Atlanta,GA967532,GA,7,35,11375000,91,A,A,4.7,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Christopher Cox,Christopher,Cox,christophercox@weichert.com,(828) 933-7682,CBRE,San Jose,CA,San Jose,CA693075,CA,4,20,15000000,76,A,A,4.6,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Melissa Martin,Melissa,Martin,melissa.martin@weichert.com,(608) 445-5580,Independent Agent,Phoenix,AZ,Phoenix,AZ718330,AZ,4,8,3600000,86,A,A,4.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Kimberly Johnson,Kimberly,Johnson,johnson.k@outlook.com,(312) 482-8091,Sotheby's International Realty,Miami,FL,Miami,FL635073,FL,5,30,12000000,92,A,A,3.3,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Samantha White,Samantha,White,samantha.white@gmail.com,(513) 793-5907,Realty ONE Group,Austin,TX,Austin,TX201028,TX,7,25,8750000,100,A,A,4.5,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Rebecca James,Rebecca,James,rjames@weichert.com,(806) 503-1847,United Real Estate,Philadelphia,PA,Philadelphia,PA208534,PA,10,35,10150000,94,A,A,4.9,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Carolyn Scott,Carolyn,Scott,scottcarolyn@hotmail.com,(205) 246-2594,Compass,Fort Collins,CO,Fort Collins,CO938830,CO,2,10,5500000,71,C,C,4.7,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Benjamin Stewart,Benjamin,Stewart,bstewart@century21.com,(541) 327-7279,RE/MAX,St. Louis,MO,St. Louis,MO921865,MO,3,12,3120000,79,B,B,4.7,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Robert James,Robert,James,james.r@kw.com,(575) 485-2802,HomeSmart,Asheville,NC,Asheville,NC498863,NC,6,15,4650000,94,C,C,3.7,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Thomas Gray,Thomas,Gray,thomas.gray@gmail.com,(319) 280-6245,Keller Williams,Philadelphia,PA,Philadelphia,PA475644,PA,12,30,8700000,84,A,A,3.2,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Brian Bailey,Brian,Bailey,brian_bailey@sothebysrealty.com,(414) 299-4541,CBRE,Pittsburgh,PA,Pittsburgh,PA442392,PA,8,8,2320000,80,B,B,4.2,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Sarah Stewart,Sarah,Stewart,sarahstewart73@coldwellbanker.com,(479) 672-3675,JLL,Dallas,TX,Dallas,TX849740,TX,8,60,21000000,81,A,A,3.2,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Matthew Flores,Matthew,Flores,matthewflores32@sothebysrealty.com,(336) 859-7320,Century 21,Portland,OR,Portland,OR664594,OR,12,20,10000000,87,A,A,4.5,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Gary Allen,Gary,Allen,allengary@gmail.com,(951) 270-2947,Century 21,Los Angeles,CA,Los Angeles,CA253897,CA,6,50,37500000,83,A,A,3.8,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Anthony Walker,Anthony,Walker,awalker@realtor.com,(216) 980-8287,Coldwell Banker,Richmond,VA,Richmond,VA699657,VA,12,35,13125000,80,B,B,3.8,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Nancy Williams,Nancy,Williams,nancy_williams@outlook.com,(303) 662-7960,Sotheby's International Realty,Cincinnati,OH,Cincinnati,OH379672,OH,4,18,4500000,73,B,B,3.4,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Betty Ramirez,Betty,Ramirez,ramirez.b@outlook.com,(575) 275-4441,ERA Real Estate,Minneapolis,MN,Minneapolis,MN592857,MN,6,16,5600000,94,A,A,4.9,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Mark Gomez,Mark,Gomez,mark.gomez@gmail.com,(501) 504-9465,Marcus & Millichap,Pittsburgh,PA,Pittsburgh,PA154425,PA,4,35,10150000,78,B,B,3.6,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Paul Gonzalez,Paul,Gonzalez,paulgonzalez@realtor.com,(843) 410-1751,Compass,Charleston,SC,Charleston,SC597225,SC,4,3,870000,82,C,C,5.0,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Jacob Sanchez,Jacob,Sanchez,sanchez.j@realtor.com,(206) 596-2366,Realty ONE Group,Montgomery,AL,Montgomery,AL610240,AL,2,8,1760000,61,C,C,4.3,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Alexander Brown,Alexander,Brown,alexander_brown@sothebysrealty.com,(312) 375-2575,Realty ONE Group,Oklahoma City,OK,Oklahoma City,OK362991,OK,2,8,1680000,85,B,B,3.9,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Jeffrey Jimenez,Jeffrey,Jimenez,jjimenez@century21.com,(901) 250-3484,United Real Estate,Phoenix,AZ,Phoenix,AZ114647,AZ,8,60,27000000,84,A,A,5.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Barbara Mendoza,Barbara,Mendoza,barbaramendoza3@century21.com,(312) 463-9211,CBRE,Memphis,TN,Memphis,TN543198,TN,1,45,14400000,79,B,B,3.6,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Richard Bennett,Richard,Bennett,rbennett@sothebysrealty.com,(716) 691-5122,Sotheby's International Realty,San Francisco,CA,San Francisco,CA430504,CA,5,30,22500000,94,A,A,4.9,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Charles Baker,Charles,Baker,bakercharles@aol.com,(541) 652-7264,Keller Williams,Salt Lake City,UT,Salt Lake City,UT281982,UT,4,12,6000000,71,B,B,4.4,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Brandon Martinez,Brandon,Martinez,martinez.b@realtor.com,(505) 449-2204,eXp Realty,Seattle,WA,Seattle,WA298844,WA,8,16,9600000,90,A,A,3.8,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Nicole Edwards,Nicole,Edwards,nedwards@exp.com,(617) 367-3111,JPMorgan Real Estate,San Francisco,CA,San Francisco,CA735669,CA,6,20,15000000,97,A,A,3.7,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Steven Foster,Steven,Foster,stevenfoster@kw.com,(402) 660-6322,Zillow Premier Agent,Dallas,TX,Dallas,TX777522,TX,6,50,17500000,81,A,A,4.8,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Betty Parker,Betty,Parker,bettyparker@hotmail.com,(901) 951-5802,Coldwell Banker,Buffalo,NY,Buffalo,NY223893,NY,10,8,6800000,75,B,B,3.6,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Melissa Nguyen,Melissa,Nguyen,mnguyen@realtor.com,(336) 533-1168,Zillow Premier Agent,Houston,TX,Houston,TX518809,TX,2,25,8750000,85,A,A,3.5,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Debra Sanders,Debra,Sanders,debra_sanders@homesmart.com,(575) 732-5935,United Real Estate,Bend,OR,Bend,OR351918,OR,2,8,4000000,83,C,C,3.7,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Benjamin Jones,Benjamin,Jones,benjaminjones@coldwellbanker.com,(806) 436-9466,Windermere Real Estate,San Jose,CA,San Jose,CA469482,CA,6,50,37500000,78,A,A,3.8,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Nicholas Cook,Nicholas,Cook,ncook@hotmail.com,(410) 330-8661,Cushman & Wakefield,Houston,TX,Houston,TX959254,TX,6,25,8750000,94,A,A,3.4,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Steven Ruiz,Steven,Ruiz,sruiz@hotmail.com,(801) 625-8732,HomeSmart,San Francisco,CA,San Francisco,CA833434,CA,5,35,26250000,80,A,A,4.9,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Deborah Long,Deborah,Long,deborah_long@century21.com,(602) 218-3616,Coldwell Banker,Chicago,IL,Chicago,IL693474,IL,12,16,4800000,96,A,A,4.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Steven Cox,Steven,Cox,steven_cox@yahoo.com,(801) 221-1018,Compass,Des Moines,IA,Des Moines,IA835046,IA,6,8,1640000,76,C,C,3.2,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Donna Peterson,Donna,Peterson,donna_peterson@outlook.com,(206) 329-2411,Coldwell Banker,Minneapolis,MN,Minneapolis,MN238331,MN,8,16,5600000,95,A,A,4.6,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
John Castillo,John,Castillo,john_castillo@aol.com,(951) 893-5438,Coldwell Banker,Nashville,TN,Nashville,TN256585,TN,8,20,6400000,83,A,A,3.7,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Dennis Cook,Dennis,Cook,dennis.cook@yahoo.com,(512) 832-5907,CBRE,Spokane,WA,Spokane,WA970016,WA,8,6,3600000,82,C,C,4.9,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Stephanie Kim,Stephanie,Kim,stephaniekim29@gmail.com,(916) 218-9621,Corcoran Global Living,Boise,ID,Boise,ID123211,ID,6,10,4750000,78,C,C,4.8,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Samantha Edwards,Samantha,Edwards,samanthaedwards41@coldwellbanker.com,(816) 993-8066,Berkshire Hathaway HomeServices,Minneapolis,MN,Minneapolis,MN646535,MN,2,20,7000000,83,A,A,3.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Christine Ward,Christine,Ward,christine_ward@coldwellbanker.com,(612) 348-4518,eXp Realty,San Francisco,CA,San Francisco,CA163120,CA,12,30,22500000,93,A,A,4.6,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Sandra Rogers,Sandra,Rogers,sandrarogers@exp.com,(405) 618-9205,JPMorgan Real Estate,Sacramento,CA,Sacramento,CA274418,CA,6,28,21000000,84,B,B,4.8,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Maria Martinez,Maria,Martinez,mmartinez@exp.com,(503) 379-4251,Windermere Real Estate,Charleston,SC,Charleston,SC158695,SC,5,8,2320000,81,C,C,4.1,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Catherine Alvarez,Catherine,Alvarez,catherine_alvarez@outlook.com,(865) 280-9724,Independent Agent,Phoenix,AZ,Phoenix,AZ645748,AZ,15,40,18000000,91,A,A,4.2,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Nancy Allen,Nancy,Allen,nancyallen@century21.com,(951) 547-3351,Sotheby's International Realty,New York,NY,New York,NY464894,NY,8,8,6800000,82,A,A,3.1,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Steven Cook,Steven,Cook,cooksteven@remax.com,(501) 969-8866,Compass,Des Moines,IA,Des Moines,IA661499,IA,2,15,3075000,90,C,C,3.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Betty Ortiz,Betty,Ortiz,bortiz@exp.com,(912) 737-3406,JPMorgan Real Estate,Riverside,CA,Riverside,CA894322,CA,1,12,9000000,69,B,B,3.1,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Sarah Roberts,Sarah,Roberts,robertssarah@aol.com,(608) 419-7527,Sotheby's International Realty,Columbus,OH,Columbus,OH646341,OH,7,15,3750000,87,B,B,3.8,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Jennifer Patel,Jennifer,Patel,pateljennifer@realtor.com,(716) 758-4125,Century 21,Lincoln,NE,Lincoln,NE832373,NE,5,8,1840000,78,C,C,4.4,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Frank Rodriguez,Frank,Rodriguez,frankrodriguez96@yahoo.com,(314) 436-7470,Better Homes and Gardens Real Estate,Albuquerque,NM,Albuquerque,NM155219,NM,2,12,3300000,61,C,C,4.6,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Emily Diaz,Emily,Diaz,emily_diaz@exp.com,(314) 200-7433,HomeSmart,San Jose,CA,San Jose,CA599158,CA,5,40,30000000,82,A,A,3.9,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Patricia Cruz,Patricia,Cruz,patricia.cruz@remax.com,(334) 702-4970,United Real Estate,New York,NY,New York,NY901902,NY,2,20,17000000,81,A,A,3.5,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Susan White,Susan,White,susan.white@remax.com,(503) 943-4955,JPMorgan Real Estate,Atlanta,GA,Atlanta,GA956091,GA,5,25,8125000,88,A,A,3.1,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Patrick Roberts,Patrick,Roberts,patrick_roberts@outlook.com,(775) 923-5723,Sotheby's International Realty,Fort Collins,CO,Fort Collins,CO245990,CO,1,3,1650000,64,C,C,3.3,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
Rebecca Mendoza,Rebecca,Mendoza,rebeccamendoza@kw.com,(716) 783-8850,JPMorgan Real Estate,Indianapolis,IN,Indianapolis,IN290129,IN,5,28,6720000,89,B,B,4.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
