Date,Prospect,Company,Status,Last_Contact,Next_Action,Estimated_Value,Notes
2026-04-29,Chris Brown,SoCal POS Services,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Clover focus
2026-04-29,David Garcia,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,Chris Williams,Bay Area POS Solutions,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Sarah Garcia,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,David Martinez,OC Tech Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Chris Brown,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,John Martinez,LA Payment Pros,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Square focus
2026-04-29,Emma Williams,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,David Martinez,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Sarah Garcia,NorCal Restaurant Tech,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Anna Garcia,Central Valley Payments,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Revel focus
2026-04-29,John Brown,Silicon Valley Terminals,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Aloha focus
2026-04-29,Emma Davis,Central Valley Payments,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Revel focus
2026-04-29,David Williams,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Chris Smith,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Anna Williams,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Mike Martinez,San Diego Tech Partners,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Emma Martinez,OC Tech Systems,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Emma Davis,Inland Empire POS,Contacted,2026-04-29 19:10,Follow up in 3 days,$97,Email 1 (Hook) sent - Square focus
2026-04-29,Tom Williams,NorCal Restaurant Tech,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,Anna Rodriguez,NorCal Restaurant Tech,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Toast focus
2026-04-29,John Williams,SoCal POS Services,Contacted,2026-04-29 19:10,Follow up in 3 days,$297,Email 1 (Hook) sent - Clover focus
2026-04-29,Emma Johnson,Silicon Valley Terminals,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Aloha focus
2026-04-29,Lisa Smith,LA Payment Pros,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Square focus
2026-04-29,John Williams,LA Payment Pros,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Square focus
2026-04-29,Lisa Johnson,Central Valley Payments,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Revel focus
2026-04-29,Sarah Martinez,Golden State Systems,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Clover focus
2026-04-29,Chris Johnson,NorCal Restaurant Tech,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Toast focus
2026-04-29,Chris Davis,Central Valley Payments,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Revel focus
2026-04-29,John Smith,Inland Empire POS,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Square focus
2026-04-29,Emma Martinez,Inland Empire POS,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Square focus
2026-04-29,Mike Miller,Central Valley Payments,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Revel focus
2026-04-29,Mike Smith,LA Payment Pros,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Square focus
2026-04-29,Tom Davis,Silicon Valley Terminals,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Aloha focus
2026-04-29,Lisa Smith,Silicon Valley Terminals,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Aloha focus
2026-04-29,Tom Miller,Central Valley Payments,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Revel focus
2026-04-29,Rachel Williams,LA Payment Pros,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Square focus
2026-04-29,Anna Miller,Bay Area POS Solutions,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Toast focus
2026-04-29,Anna Williams,San Diego Tech Partners,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Toast focus
2026-04-29,Mike Garcia,Inland Empire POS,LinkedIn Contacted,2026-04-29 19:10,,$97,LinkedIn DM sent - Square focus
2026-04-29,Anna Miller,SoCal POS Services,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Clover focus
2026-04-29,Emma Martinez,LA Payment Pros,LinkedIn Contacted,2026-04-29 19:10,,$297,LinkedIn DM sent - Square focus
2026-04-29,Rachel Davis,Bay Area POS Solutions,Demo Scheduled,2026-04-29 19:10,,$297,Demo booked from cold call - Toast focus
2026-04-29,Emma Jones,LA Payment Pros,Demo Scheduled,2026-04-29 19:10,,$297,Demo booked from cold call - Square focus
2026-04-29,John Martinez,LA Payment Pros,Demo Scheduled,2026-04-29 19:10,,$297,Demo booked from cold call - Square focus
